,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T23000logg3.6,284275.6005895914,267947.7407118066,253784.62511873394,242132.3087172053,232747.11713009726,224817.97458047053,218586.83238022614,213806.04470322057,210036.3035076582,207381.385916731,205613.74706117396,204489.30854917865,204030.07098632367,204068.8604120307,204471.6556046398,205213.12868041274,206182.04333258278,207311.53550947044,208592.60470819622,209973.0169327093,211423.4983771412,212956.16473805634,214534.72252508637,216137.09758709732,217777.66458705784,219439.27856027993,221083.56859927086
T23000logg3.8,345738.10314846464,331098.94515878963,318348.8413867745,307847.2956953423,299377.5994908169,292214.32292004046,286596.13899066445,282285.8174291961,278884.0868122725,276498.21201640036,274911.73369791766,273901.03492566146,273494.6007035578,273530.847095135,273883.85065292433,274539.88227015076,275390.2740557623,276367.4244725049,277474.6243534082,278657.57786254043,279878.53211146523,281166.7006489864,282482.0792259772,283791.4240580714,285130.6690687128,286476.99106434156,287777.4989828621
T23000logg4.0,421191.72441132914,407570.3678668196,395631.35595881025,385750.88692155515,377737.64375923807,370918.3398447858,365541.7487687023,361381.50019465067,358057.8669103015,355691.38934063766,354072.9991345758,352985.9651605673,352473.0089421026,352374.29945403716,352562.6030587683,353040.56572545314,353698.2681582526,354461.4073494428,355349.4916506717,356303.05277487985,357272.7652224608,358306.80961856834,359358.07482414116,360381.1054978606,361432.89083684835,362482.53999219614,363463.7062267104
T24000logg2.8,109276.39497831874,91692.54704576622,76892.07377004242,65019.278882663966,55828.8839550389,48468.74701756398,43046.417470164044,39322.16222982401,36895.35049816599,35727.97596484465,35590.09082646284,36300.71772668746,37735.5195492185,39729.641037549874,42226.38441376188,45056.29512313713,48121.185416503824,51439.35717627798,54864.66295964301,58371.96742592111,62025.24019409992,65697.50323475112,69390.81811358998,73171.24045496149,76912.2166137548,80636.69526704134,84407.86549446922
T24000logg3.0,118918.89533403017,102023.12476971101,87770.63525311038,76335.46749784276,67429.34881722584,60218.54972618791,54839.69754721189,51045.44728203807,48436.38932309043,47012.62632813762,46542.88127897386,46832.271302990965,47800.543599324854,49285.22206915279,51211.15683132637,53455.205486009036,55920.40253928107,58604.24860920535,61405.843702130835,64296.746711907355,67318.13411436448,70384.78396579306,73489.91723475138,76678.9807354028,79862.75084670466,83053.88877473588,86291.22022676542
T24000logg3.2,153031.63706843625,136728.6906655938,122899.52408351486,111757.87411375971,103014.571056736,95860.48068785644,90457.296672868,86556.75029306713,83758.62943239648,82090.99721176972,81324.64104784207,81254.91866220585,81833.68251743633,82900.41785075994,84365.2569499754,86138.60610721743,88122.36017182258,90295.06712000906,92588.58685891,94969.51440883898,97457.63304134947,100001.78074870644,102587.50030066077,105239.16694149055,107902.99256225082,110583.21239274059,113293.62491693268
T24000logg3.4,201954.1857337934,186113.27974251562,172602.14852165163,161661.86194104498,153010.8325945733,145862.34709241553,140402.7142051818,136386.48812216803,133412.89159090808,131532.0508641959,130515.4283772446,130149.91966760847,130411.51685058189,131140.29294848768,132234.59102663348,133630.85034642913,135228.6111322881,136990.8910527569,138875.85427887022,140845.15918369486,142900.46928992838,145018.79553699447,147178.09061953146,149383.4350171676,151611.12634963647,153857.41179125328,156113.85168110338
T24000logg3.6,241483.70372347021,226564.59271900792,213745.08326013503,203309.80214677932,195005.38516345492,188091.6133820094,182768.88401097586,178800.23667541906,175799.74711861336,173837.1951830243,172695.5622730771,172167.500978597,172246.67262918424,172776.429890103,173651.57318355623,174823.96869705612,176192.9905653542,177714.24791408327,179359.2232229053,181085.40727638654,182882.711064641,184743.4089396052,186640.1405359565,188565.89610937648,190515.3295034893,192478.7127078505,194432.5609133285
T24000logg3.8,378365.94809792016,360420.214008127,344644.39866993536,331497.7425448051,320750.34474026173,311507.47986369237,304080.93091203953,298200.87680719345,293357.1193741053,289713.43162825203,287023.9527379072,284991.45962695865,283687.5397228338,282925.7428930442,282527.69251144,282513.0089657037,282753.8511681683,283148.9786923934,283728.4474744895,284422.9088405184,285170.5966286207,286023.93505060417,286930.2059430288,287839.3251858711,288806.34617692354,289797.7838969401,290746.3446228302
T24000logg4.0,372960.9577117569,359823.50051329995,348378.51339602657,338963.06019612483,331377.54834326677,324973.1206205941,319974.7702364086,316163.35711437336,313182.1895433275,311131.86898344185,309809.84654799657,309016.69450210326,308778.1630560999,308941.339371232,309393.7667643851,310122.0264302347,311022.4570844469,312032.6887169797,313158.14915379777,314346.3022050483,315559.9044088038,316831.65387408016,318120.99074539775,319392.60376614536,320687.5437335156,321981.43512496556,323218.1259698696
T24000logg4.2,452783.9713565084,440434.1542218985,429601.4378336184,420640.7393090198,413376.7041682027,407200.9190973457,402348.05283317476,398607.94338923186,395636.80201353197,393548.036921111,392145.2583725241,391232.010729402,390848.8013137467,390844.30316593964,391102.29701118916,391626.50964535895,392311.8388624177,393087.5424856931,393976.04278403026,394919.7898534185,395868.9063291467,396875.6540642709,397892.6013172975,398872.17723800126,399876.305408603,400872.6490139846,401792.1484657916
T25000logg2.8,124948.82685230159,105455.40843831896,88850.368535512,75319.35561813234,64710.381304581104,56093.49755040675,49587.55270384836,44967.49234685617,41779.068860847954,39980.38736417453,39342.31120958047,39656.97988015238,40788.83719354209,42567.81090174548,44923.43426311083,47672.486213061056,50709.2802806591,54044.73270305437,57515.60692239497,61090.74273111425,64832.5002781539,68600.6238641571,72397.35349435713,76288.07439122855,80136.44080351031,83967.90580530335,87846.86983730129
T25000logg3.0,113720.49355478375,96686.23573876184,82317.03166827124,70762.66823220943,61767.23032637505,54491.51422251642,49055.15898304456,45224.424900518774,42603.705270054605,41179.828357766244,40732.22468850436,41073.858917372876,42108.6012175829,43677.40558380881,45712.00938366788,48073.02594627079,50665.26444977035,53494.45375392394,56443.29950732813,59484.871603373686,62668.63793371548,65893.66013058761,69156.91331760875,72510.19543966095,75849.87072797812,79193.10451726947,82585.38856835007
T25000logg3.2,137999.18491974092,122071.86203582099,108594.17814166207,97753.23950961427,89275.88951589726,82372.26941144421,77186.34185593558,73482.00137265329,70877.50832049384,69388.06479264823,68793.3101695245,68901.87163207436,69651.15692745207,70884.45540401331,72522.34397836607,74462.18321090235,76609.2458937412,78952.30233187327,81410.8729489606,83954.72078829494,86612.88651818265,89321.41972836177,92069.78953905436,94889.66684780657,97714.45127724308,100552.27706414978,103424.20878509872
T25000logg3.4,179467.9730110075,164187.99799039072,151184.39614116165,140682.97491391574,132415.47421345135,125622.66453125059,120471.73337968274,116727.57102776814,114012.3748517351,112365.19656233251,111567.23525985058,111421.34417197439,111890.72985133201,112818.96151881584,114115.8167294473,115705.20052814693,117490.15061774809,119444.55500719404,121514.46965799404,123664.7366413717,125906.4718330167,128204.0182772911,130539.41356821134,132926.04492305513,135327.7279673279,137744.49320239777,140175.5659036299
T25000logg3.6,221722.17858274243,207597.52274832485,195526.30754177048,185758.5480621999,178042.41091203035,171676.68006753596,166837.2459517938,163295.78944505076,160695.98452229428,159089.539538935,158266.43141281928,158038.32345899756,158384.37754208193,159153.79005548853,160255.86646958443,161631.91221182083,163186.59419835493,164886.74050817988,166695.20106425366,168574.211076679,170522.92037030557,172525.0261396319,174557.97860070455,176621.50695375967,178702.0875921677,180794.02736590273,182879.90540519156
T25000logg3.8,259561.1462579759,246505.29663679688,235311.14058822006,226245.45506798357,219079.27696678162,213168.74239171695,208692.07116785695,205428.55396084822,203046.86186706112,201603.01566466654,200894.40761042217,200746.59434194266,201143.18858646677,201936.1934741464,203040.36158887256,204402.63669449533,205927.71044947527,207581.5669131822,209332.99890254103,211141.88840959483,213002.0685929525,214906.07728123368,216827.6806889505,218760.06719725655,220701.81217868358,222643.4181818405,224558.29958335933
T25000logg4.0,325116.00902527326,313067.55408681044,302662.65780352324,294187.8633113752,287437.7254934848,281818.1601002845,277518.84250152786,274330.9283932217,271939.5600055477,270417.6058001987,269573.2003555253,269236.3454060235,269410.3726340464,269952.60498341115,270773.7622399185,271841.5348842101,273061.5254126193,274389.5652718745,275814.3477640999,277291.7343331517,278800.7950955537,280356.1865724739,281925.22410728596,283485.7866486664,285060.54108403553,286632.2431565405,288157.8776979472
T25000logg4.2,378302.80926993967,367145.3201548381,357464.7119460533,349558.1393404646,343243.4900303257,337973.72389463906,333940.7604936785,330944.980867169,328691.11403661856,327256.83853656036,326457.8618391254,326134.0017259625,326294.6707741521,326800.75044155476,327565.93977948435,328565.8545592579,329706.5862116676,330941.8214386761,332267.5122400301,333637.0114048237,335022.7666021285,336449.25608312193,337880.0402126274,339285.8968340954,340701.3975597717,342104.80100729625,343445.15681921184
T25000logg4.4,452955.2565642808,442397.37588536687,433168.5003625646,425581.38465569576,419477.0535185922,414340.3924488259,410373.54968044924,407386.46254641993,405092.882880849,403583.72136890946,402680.54680393625,402224.0302205911,402236.7801133015,402580.6878139828,403164.77996978996,403979.1863039902,404928.71492299833,405958.4628687375,407079.6853796963,408241.11709105485,409403.18449981837,410607.3264854966,411810.353785901,412972.1188581651,414144.9867976274,415299.6760155067,416373.945448475
T26000logg3.0,119088.27179660232,101005.22970500561,85629.92818693854,73129.03217352674,63311.54546121726,55297.275323178554,49210.701666038796,44833.16415845262,41740.39162718906,39913.88418318903,39139.04154723168,39215.95769671442,40038.76520090206,41448.562888315624,43370.82248193909,45656.078019589804,48207.290428390676,51028.04132723295,53988.62563245215,57059.767919044316,60292.12096286703,63574.31393762999,66904.65359954129,70335.59539200866,73754.0778736912,77179.83761132038,80660.00812873509
T26000logg3.2,131258.94461677247,115131.86680940808,101464.65830236394,90434.60160015244,81800.82916063583,74765.86707164849,69461.46062317284,65661.94714383852,62983.16318316289,61429.87938154815,60789.90945389051,60874.3471605813,61610.15708627377,62844.70974749019,64501.73193138491,66469.21493558401,68654.54034701393,71050.61215950942,73567.08043171048,76175.01654407605,78908.08346598862,81693.19349451245,84522.80527002734,87431.94243839345,90345.19874959988,93274.0392529454,96242.95977148895
T26000logg3.4,160503.77651339592,145766.4949979381,133258.24968955768,123177.27373539966,115275.5619711264,108821.88308691603,103961.878590097,100473.03387365137,97999.31055156307,96564.13733651987,95960.21363478035,96006.84112912838,96652.42963728339,97747.19863174052,99213.04996925754,100960.63874178966,102898.04981875903,105010.11053484646,107230.20497673408,109527.17381971204,111921.58736597688,114365.06870269401,116844.47196632583,119380.3387660871,121924.51747810989,124481.65810306453,127057.73056483969
T26000logg3.6,197488.36382813263,183952.24200996704,172430.99746552788,163145.57261704933,155852.82407066412,149881.7737627206,145389.39322036374,142157.63992493134,139854.14153649524,138515.8578874823,137940.2051040916,137954.83204820578,138524.1654335323,139501.7604494797,140809.29993399553,142375.68110868198,144110.03687715132,145990.39369070443,147968.69280044347,150011.46145892478,152128.07125586527,154290.495480617,156480.6138441266,158706.2803104267,160941.9266964087,163185.9552528515,165428.86485937695
T26000logg3.8,234153.89623802833,221818.76287231813,211289.3665338547,202806.64480019236,196144.70704940474,190695.6964039739,186619.53749694157,183704.6779406995,181646.26443930974,180486.6295515499,180031.1265752165,180122.61884052437,180732.884483711,181719.74644106434,183010.88426343474,184542.94385679753,186225.9399265141,188036.762769867,189934.39743866332,191883.10786758218,193886.1187654984,195925.73578948004,197980.34988919075,200050.34420426423,202124.08626028278,204195.91032094613,206246.1762803893
T26000logg4.0,281888.88141269586,270587.69985228055,260903.2551399496,253085.9001584463,246931.7567705487,241886.99491066136,238113.81263271373,235411.45456123893,233496.7940466539,232418.35422198087,231990.42777193827,232065.7521719582,232625.05383156016,233531.52976439052,234715.28584548354,236124.27006993067,237670.0276784791,239325.06859824221,241059.94721603434,242836.99899063748,244650.35033179523,246496.23310244016,248349.32219471975,250199.9325654641,252053.09448395556,253898.49058236758,255704.7193573771
T26000logg4.2,356629.8401972058,345710.0912822183,336270.19329559075,328587.6314272858,322481.3596519418,317417.58584812185,313574.86176625587,310759.0621044563,308686.8829502241,307425.12318160495,306792.71564653335,306637.9589440067,306960.8962295469,307624.99106514454,308551.46497859317,309706.9201125233,310999.2609169205,312388.1291243163,313861.835657056,315376.23447781405,316910.0689693377,318479.7876860646,320052.13558260945,321603.31445356365,323160.3408760178,324704.92998146755,326190.28546400735
T26000logg4.4,389823.85214353487,380207.61523485446,371888.0471947499,365136.384935193,359793.9128356075,355394.8912357648,352103.6881824075,349737.56972924434,348048.8159134248,347095.7559111709,346708.46893167286,346757.12415991747,347237.35883139033,348020.77925952064,349041.2494310645,350264.5042728382,351604.4310191368,353025.86633122363,354516.717486255,356034.515341774,357557.4104875408,359104.11581509095,360641.46971673676,362144.3203636403,363643.8594472565,365120.61225784745,366526.55911186687
T27000logg3.0,121622.9118560907,103144.22228716545,87406.98458340306,74554.23803353657,64439.55211517241,56172.43365201996,49870.68915532466,45330.036229556215,42122.00676242802,40211.97205698109,39394.343372018164,39475.46949458923,40328.18091581164,41795.62171343181,43809.36108423378,46198.168226048394,48865.93060149505,51824.937455507046,54925.9574535118,58141.51847232486,61531.65952739515,64966.9337629572,68449.55837397158,72038.67206580799,75605.41376746917,79174.32243455802,82799.8215887404
T27000logg3.2,129026.8763562132,112103.58888807995,97710.70019379268,86023.028425687,76834.71772979037,69312.24526186865,63584.1998771817,59433.21426424016,56456.28269233899,54651.22091891706,53811.138323952895,53741.23991217932,54358.549078331795,55510.959641167,57119.829911725006,59062.669580392256,61246.70455498416,63666.31332935284,66219.90708223323,68878.03670757399,71678.07099923083,74536.2084586207,77446.83548376132,80447.95963885395,83453.41687229503,86477.67583396097,89548.95706360861
T27000logg3.4,153189.47197904368,138186.86963841354,125446.30744219893,115155.7749542231,107089.88166479747,100504.57335518279,95532.88114852071,91958.068654396,89419.61746990801,87930.55322235373,87288.65896392356,87314.26507878733,87946.2338840129,89037.6627316159,90512.522704936,92274.12009129497,94232.46677384795,96375.28016419179,98628.44251011375,100961.91472209523,103399.96559310419,105887.67970472225,108414.84507699632,111004.58869605132,113602.56079131221,116216.6107836184,118854.95396258892
T27000logg3.6,187631.60066715156,174109.80495890285,162616.4600195438,153357.95268086653,146107.90435339903,140195.3877620398,135760.40463595427,132590.53538425537,130357.7711415538,129086.97278294468,128580.54943264188,128671.42734698635,129314.12742063453,130365.26665123492,131751.73698060255,133394.43966689476,135204.46040500305,137164.1703779762,139217.67347638673,141333.09052160953,143524.13783287877,145756.31823069288,148014.90597388786,150310.86366221384,152613.5115264892,154924.75832926773,157237.15455493695
T27000logg3.8,222089.2334385482,209680.4157799803,199107.90814257064,190595.02391693887,183924.34006144037,178484.18931786125,174423.1945940558,171534.81419944676,169515.87087156854,168399.7325308927,167993.98263436585,168143.1588458023,168811.2751952134,169857.40196972946,171211.89183500758,172805.69756231096,174549.91041325932,176424.42967798398,178383.92884819667,180394.38268840997,182462.73182824362,184566.69977658865,186687.05637268184,188826.84175323215,190969.83441902936,193113.03611814757,195238.93602038763
T27000logg4.0,264628.4886249849,253762.28296811844,244488.83501808156,237036.37822621435,231203.9674803291,226458.79935773325,222948.34493513883,220477.9951664135,218781.40167708142,217896.26370236513,217641.58445700293,217880.97558994216,218586.2560972266,219624.0441943559,220932.6141329286,222453.18512239642,224100.51291399286,225854.04525600033,227678.87711070414,229540.355473658,231438.7249046111,233364.49478159595,235295.30094890035,237225.74453411062,239155.23875468544,241076.04162558576,242960.79860512976
T27000logg4.2,311849.6686349932,301649.74927878403,292909.12554555736,285868.56750826497,280341.4636416605,275830.0248520243,272487.53862918005,270125.6409986951,268491.3397221747,267630.24424066226,267367.122186563,267571.53950548987,268224.65329838684,269195.7466245631,270423.6742929916,271858.89042558713,273415.85137955897,275069.90616051236,276794.85675792355,278553.03518481913,280337.70958342013,282149.2286350838,283960.69525854464,285759.9936570315,287557.43047816225,289340.62090947677,291074.53519191255
T27000logg4.4,376781.21848404594,367558.55002925324,359614.63002843014,353197.71379598416,348142.1687557493,344000.26484738564,340927.3469147587,338746.2333657548,337224.1097171653,336414.1747043781,336150.58009397873,336311.793091952,336889.2560182749,337757.099449362,338855.0107554556,340145.8601961587,341545.5211052965,343023.68704160757,344567.09011245344,346135.3773282274,347711.36479651363,349310.85444444016,350901.97645257076,352462.66422841995,354019.8299650935,355554.95793022064,357023.43034544383
T28000logg3.0,121035.2986402119,103469.7189121772,88480.20243629359,76188.9752335576,66511.37147109625,58617.750000172964,52614.010457960976,48326.36646708269,45355.78317123005,43650.95372022017,43025.37858302186,43306.988314295944,44349.7144961861,46005.05032386399,48218.36438222564,50800.40167847253,53659.95738518957,56819.74934807287,60113.26972238932,63516.371673167465,67097.62645291096,70712.2542205594,74366.78248969166,78126.31050648788,81850.81817363467,85568.86848839962,89341.17874709073
T28000logg3.2,115279.11052616259,98974.18463735584,85198.38964633095,74063.92591600592,65379.27906718262,58344.88817991237,53060.58353651246,49319.10383132054,46746.40131389948,45309.203762223675,44812.71588316721,45090.11158290114,46027.86080056839,47481.939802934,49395.14624429215,51617.71297292586,54065.124504820364,56752.31966965845,59554.8867717237,62451.416131444996,65497.32269476594,68586.38856577783,71720.65264909626,74951.35240787019,78171.10640097834,81401.14612450566,84682.76559577082
