,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T32000logg4.0,1254416.1149284118,1168046.5510691805,1089432.0886181789,1020628.3873493149,960334.8511340615,903227.777684436,852637.4869301093,807004.660956173,765271.5970428754,728783.2512267745,696260.8939627075,667680.5017017312,642995.0554249805,621116.7989329956,602215.7384667147,585885.0906634505,571231.2799984477,558514.8589230467,547351.8732056646,537314.450605551,528580.5312752892,520788.09027189866,514042.1213317858,508098.8209295377,502766.70006610046,498231.1489926792,494230.6695785648
T32000logg4.2,1756851.440089288,1666256.2416577945,1582207.9123536677,1506217.5906124022,1438532.7939269904,1373463.1367633066,1314366.2264340324,1260926.0116135264,1210374.354764543,1165624.8985633494,1125329.0549347114,1089211.5623768615,1057379.6698561946,1028841.8044981596,1003688.6324867884,981355.8690385111,961167.3358092118,943195.348177447,926961.4068314318,912142.8642320321,898869.9473163655,886782.2667247693,875729.0084563346,865799.2738804421,856620.2227473943,848345.5568381189,840768.3121976212
T33000logg3.2,424744.9496756342,404670.3255429362,388339.7803493024,375729.54587997304,367083.2974274972,361465.88596463786,359048.8918257944,359113.2955069016,361236.52610775107,365446.68345325603,370921.2460482302,377474.4160667032,385164.3869311116,393398.1758316433,402075.7915132499,411305.7251564289,420739.8393920273,430238.6884319672,439913.1863613367,449585.4984056093,459093.1880464199,468482.29788530734,477885.9989318354,486956.1732584625,495782.9064573921,504623.39836759644,513107.37923038966
T33000logg3.4,516407.0344645075,462368.6125317174,414375.8292803709,369982.3837587811,332485.7019985264,300128.07032601384,271154.9836954647,246750.60436082623,225926.966164696,207510.88146918232,191893.0729264989,178671.4160645651,167166.27346009912,157350.66627859295,149237.44562377682,142412.7107793593,136810.7219459115,132469.3221110519,129130.31569242921,126722.13522434093,125226.40850049301,124486.84496048694,124418.75799529586,124978.73619274373,126071.64332488319,127633.03594770096,129621.24434984315
T33000logg3.6,468621.87569306756,423547.55250430875,384972.40770504856,350629.843386705,322518.2827364728,298692.97514774476,277811.25869297056,260552.7139751857,245876.21698814054,233028.53433538563,222320.5618055991,213329.39535842396,205745.98739994917,199540.86137287936,194593.52456300144,190618.0382268431,187578.35371261096,185313.15391803486,183665.89941027653,182750.93155118398,182362.16563804523,182461.05857196785,183097.09467246785,184112.88777289807,185467.65859139417,187217.30774539564,189200.75537773978
T33000logg3.8,659173.4490027495,605695.0214669572,558984.5758738919,518340.2168882474,484310.7426043005,454078.1096644456,427699.66705718194,405058.7337384784,384905.2971991746,367368.3207398721,352237.6114278376,339069.90166038834,327844.21984268154,318277.30230679165,310164.86344052874,303380.4771350176,297562.0123798484,292667.01315618947,288591.537451825,285210.7619855128,282469.76723952184,280302.73256202677,278752.88312069303,277621.0608845465,276884.0040185761,276618.1153795386,276623.45677671407
T33000logg4.0,1146821.702729605,1062767.238828714,987932.1055327252,921457.1172026624,864476.7095430163,812261.2996067102,765722.7722897946,725063.3257824278,687754.4666507136,655193.8283890078,626767.738954558,601492.6047858422,579625.2829515758,560713.4508542861,544320.6156623807,530087.4173601879,517784.9321899095,507118.73961229314,497772.9057689962,489672.56347112334,482722.9088833283,476673.4848344476,471503.9678340231,467118.19389215123,463361.36936132517,460216.02825012116,457575.0403151011
T33000logg4.2,1445260.1451723566,1364613.3856833593,1290177.2143458812,1224100.5483711346,1165580.289505585,1109626.7589696434,1059566.0488598207,1014212.679002949,971982.9014586413,934826.6386091453,901451.632972225,871745.1071070425,845886.2953488715,822782.5852549468,802594.6543408054,784959.3097509933,769039.1373919945,755017.1924501014,742541.3353018153,731222.9283177594,721192.4506192843,712140.9981411917,704082.493125982,696867.3691620847,690279.8251087584,684487.0095874729,679241.2969791598
T34000logg3.4,599222.6216060389,545238.7983983306,495669.3918516833,448224.9130902406,406936.09113852517,370495.79075618734,336992.9302409313,308059.9437648563,282956.1614650142,260312.45471186447,240664.90686613377,223711.26418286876,208528.16817976028,195091.13399998687,183543.37969579012,173342.3882879035,164455.2924449368,157096.14120050296,150941.59027916103,145800.75946542277,141857.69195905648,138883.05911740035,136616.0995693662,135226.87128499406,134540.30041929326,134378.40226366872,134828.19443569376
T34000logg3.6,558173.5715450231,514089.653442665,474563.18880203547,437173.4815374147,404912.3101592064,376417.6773573946,350074.40416934877,327211.5959320625,307127.67322525877,288774.9389314838,272677.53514005995,258597.80677595903,245872.47569418902,234521.73572088467,224636.2745575725,215786.12527653493,207882.67522565473,201124.3475348174,195269.95198867738,190139.3472606133,185960.23810037805,182549.39932600915,179708.93149986496,177602.33325632836,176080.51391508433,175024.1380566732,174477.7736252378
