,vsini75,vsini80,vsini85,vsini90,vsini95,vsini100,vsini105,vsini110,vsini115,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300,vsini305,vsini310,vsini315,vsini320,vsini325
T37000logg4.2,7356.693404706352,7088.0151492472605,6845.532482885107,6619.429865019638,6388.399046150512,6181.057577589211,5981.943158001859,5784.043084291727,5609.382643784322,5434.034006333115,5266.069752097348,5119.2214381491685,4968.6664420983425,4828.471532820677,4706.636465217719,4581.211213790924,4467.356866535584,4368.470533996023,4268.775564364307,4180.229557121496,4103.56845862376,4028.988313183557,3964.491823707925,3909.3932254513925,3858.36873463103,3816.152425227074,3781.451174587653,3751.980415428018,3730.1595837071054,3714.2973018722387,3704.3344449084334,3701.3320783698555,3702.44241087627,3710.0011859770543,3723.3288386775803,3740.368104243947,3763.375045418739,3790.5966876140487,3822.235857176934,3858.5571558328106,3897.8495292182474,3942.148261157109,3989.714210899788,4039.6651882489564,4094.602965338825,4151.613020160398,4210.91615853509,4274.8394127118145,4339.97215826548,4407.396814104626,4478.951178433646
T37000logg4.4,7230.047019562496,6982.222127449142,6758.2812339085995,6553.484442864752,6342.650901594174,6152.905899129909,5975.6777970909525,5797.67200525524,5638.794111212928,5487.0080483929005,5338.654883788929,5208.808124352155,5080.224286514692,4959.1965769288545,4854.440349137784,4750.094502039716,4654.745170169047,4573.4759865551505,4493.007732973337,4422.084621785384,4362.730564699635,4305.915303381357,4258.016933544221,4219.3755109548665,4184.892809148938,4158.159489759888,4138.888813466025,4124.780148484704,4117.118513982483,4115.733612371693,4119.931711472779,4129.395322447577,4144.285522255732,4164.771887010048,4189.651555739096,4218.896934547482,4253.57670957515,4291.864650776174,4333.629837816871,4380.3842996808735,4429.742654934782,4482.57672305623,4539.409502777789,4597.960050224983,4660.3174731945055,4725.461783959776,4791.778320313278,4862.20688138666,4934.200077745033,5007.304051741782,5084.436905340518
T38000logg3.6,9511.93929310559,9218.971944168303,8943.511429039656,8680.199827632563,8399.463127783612,8137.8758694128965,7882.693927014948,7618.45279979323,7375.302127881524,7132.069766197569,6887.853604470419,6667.542346982206,6439.297410157905,6218.325393300355,6021.504529279121,5814.25235117997,5619.273508083252,5445.989852357347,5265.203100495751,5098.262097993986,4949.625072216778,4798.042097653437,4660.170255213057,4537.405394700489,4415.349297300275,4306.358084377849,4209.466431364058,4116.206403660705,4035.028816587603,3963.3534035771413,3897.407303195641,3842.483376963423,3794.907861242506,3754.4442014921437,3723.5965922918613,3698.992330964417,3681.97028907512,3672.868356517142,3669.8429678430025,3674.0613237088537,3684.4406343081982,3701.2429569561004,3724.4637836207835,3752.3549747401967,3786.958313192088,3827.039939363157,3870.6010369761134,3921.0459676760447,3975.9823232842805,4033.4914572001585,4097.956597953847
T38000logg3.8,8282.217898298759,8001.1928434997835,7741.3271995814675,7493.35281297251,7233.811626791757,6995.518200782966,6761.541170491602,6523.646824367873,6308.696743473407,6088.933990742508,5873.320366237491,5681.704079324422,5479.004206561737,5286.890478236356,5116.252662499555,4936.420775251592,4769.149327422131,4620.002720221892,4465.761064712365,4324.462319790309,4198.027739654083,4070.53408441551,3955.613655080747,3852.502768796613,3751.6034823600344,3662.4638897594527,3582.4542353006423,3507.030218697183,3442.4208883777246,3384.721501822728,3333.2361508866256,3291.5428726044006,3255.0642732009937,3225.747887702587,3205.088704476803,3188.5833083789244,3179.5486886499243,3177.5635564627887,3180.0062722982166,3189.2579099537816,3203.8955215769106,3223.6817411217994,3249.147897283081,3278.6630606755834,3313.933442089539,3353.6730696185873,3396.681696984143,3445.5597267901016,3497.798373116118,3553.0225307900996,3613.873916411727
T38000logg4.0,5982.800127915324,5760.86091297228,5559.774143895179,5371.633865283854,5178.34262347446,5004.002042040883,4835.847489460165,4667.701362946831,4518.288752784391,4367.992288212769,4222.970970416354,4095.677766988877,3964.3996811736934,3841.7122439579243,3734.6875206270333,3624.266316378316,3523.7467080619613,3436.269617160776,3348.0607143535594,3269.7377639225283,3201.984758477498,3136.3279968177253,3079.880474767263,3031.9327467883486,2988.1308870279886,2952.579885526003,2923.9375918399805,2900.657370485739,2884.4973374763345,2874.176709483918,2869.725620399329,2871.276925451342,2877.95222282234,2890.5174954015843,2907.920095238595,2930.2279708663323,2957.9664100177533,2989.3039350996046,3025.9279967767948,3067.0493750517694,3110.696838339346,3160.093363292213,3212.8262564211295,3267.474116653759,3327.9315943849274,3390.631402738406,3455.1457141145843,3525.1146549846644,3596.3883865627386,3669.719746085063,3747.92165953014
T38000logg4.2,6400.194878448523,6173.193014115152,5966.218661508162,5780.826155965125,5585.44564764093,5407.326940802003,5245.07169444237,5077.347290426971,4924.881968048935,4784.069653473969,4641.415693421816,4512.586717899845,4392.317980374516,4273.223616303463,4167.015620655497,4066.857345144996,3970.502581184968,3886.6867249515635,3806.2554081325584,3732.1329185965583,3669.6314912919956,3609.4636308536037,3556.853777814765,3514.024108123132,3474.339673322015,3441.993526215623,3417.5456815068424,3397.2343041764516,3383.566736217406,3376.124478529471,3373.7241028101143,3377.0562270335035,3385.3107161292105,3399.1715813404426,3417.7681232877526,3440.3733219304972,3468.7468240548756,3500.826806926668,3536.3388929707457,3577.423765989394,3621.2256980053508,3668.1166447403107,3720.1463863663203,3774.0346709322253,3830.846982374707,3892.255541355837,3954.8950306131965,4020.283079731105,4089.7384070877533,4159.955406116851,4232.860513786961
T38000logg4.4,5629.256171192379,5445.681728526293,5280.82444149502,5125.87618327265,4969.386077888819,4830.440817674692,4695.426687674631,4563.696598848939,4449.05987076555,4332.856016727082,4224.076848497421,4130.5526827279855,4034.318552405789,3947.192228640214,3872.5750556875487,3797.2392780376326,3730.924070354583,3674.575314575853,3620.12949753885,3573.990347185295,3535.8894120661416,3501.6965532566514,3474.840754749263,3454.7052711470596,3439.6164277527814,3430.8136630434774,3427.7330407356058,3430.17139219024,3438.0353376931075,3450.556739694521,3468.7681105699135,3491.230479052662,3518.4031898745775,3550.63162832385,3585.8125394716308,3626.416740069032,3670.8543168985343,3717.327729933074,3769.614334554427,3824.4346642337478,3880.9830020408513,3943.1213126502544,4006.6537045589266,4072.0460416849082,4142.430038885942,4213.320837105644,4286.347286049588,4363.555691812961,4440.718830808307,4520.278321230615,4603.180707163341
T39000logg3.8,7625.894191376116,7395.83432264589,7182.3883078378285,6976.613953454581,6761.11217434358,6563.000068082114,6366.04465385015,6166.148181210817,5986.024592658312,5798.5330123867525,5615.704463866277,5452.974461244726,5279.613020703766,5115.698094330052,4969.658784417969,4815.430890615425,4672.220419621127,4544.064804047093,4411.672494645157,4290.663314709616,4181.9281074978,4072.8253208028677,3974.813444708919,3886.5475979755483,3800.876939490822,3725.702420086706,3658.0203746161906,3595.077681952428,3541.852345188113,3494.3637076339555,3453.0411195116744,3420.504248080384,3392.5248935750874,3371.448543641957,3357.888475444845,3348.704242820649,3346.3507925628246,3350.0053525344774,3358.6322272948473,3373.3146423784624,3392.5692776477995,3417.5394542936237,3447.473382026467,3480.9835113565587,3520.5443442943297,3563.999466797854,3610.5420438742867,3663.052029890266,3718.423818624842,3776.847832257449,3840.802579533289
T39000logg4.0,6630.734121890527,6407.092809858736,6201.951259234504,6010.4879393950805,5810.392668636532,5627.449362767725,5452.361923875972,5273.895926095861,5112.1913305085745,4953.043453402248,4795.411625720802,4655.476909304616,4512.0073174305735,4375.273576253982,4254.907096179862,4130.591340538278,4015.168746264548,3913.9949336145555,3810.758104477837,3717.1126107342284,3635.40566554216,3554.198829395054,3482.360868677259,3420.253138232974,3360.8086544350667,3310.016429389062,3267.0204354562793,3228.3025539611895,3197.289522796835,3172.623981812119,3153.254187152045,3140.604976553503,3133.2964659183954,3131.775952082964,3135.9916077272205,3144.8773733121075,3159.6078883678424,3179.1453316574216,3202.864694175469,3232.1422217653535,3265.1400859576675,3302.4257329758275,3344.5060778203724,3389.2950756376868,3438.764349883572,3492.0297613051052,3547.2454679751786,3607.5475951805947,3670.546787351438,3735.17585995982,3804.960083478198
T39000logg4.2,6351.608470672026,6145.471302613974,5958.106547112636,5784.852784745364,5605.507052380477,5443.038842409809,5289.098197044151,5133.667841386257,4994.143939669592,4858.275104465227,4724.991220881141,4607.891148135698,4489.003002265699,4376.955329734358,4279.3397232348225,4179.894165747185,4088.688449797199,4009.8304667139005,3930.690917359766,3860.1529338423848,3799.873423106758,3741.311905068958,3690.983761360904,3648.926300059215,3610.36816310852,3579.1651140838976,3554.6475059178815,3534.774616949541,3521.241318136811,3513.31044224102,3510.6300743637653,3513.3154985385595,3520.8505829247756,3533.8268136711645,3551.385705939821,3573.0048444005934,3600.0307198544174,3630.8502332399958,3665.2405694257614,3704.635304010199,3746.8452860419447,3792.8188930552624,3842.9034022752935,3894.9336126503563,3951.17009294105,4010.4181255981343,4071.0473685431984,4136.2664164394655,4203.35089089666,4271.744856649037,4344.675869853881
