,vsini180,vsini185
T25000logg3.0,13.772096990645174,13.425359588013373
T25000logg3.2,17.37555694369229,17.08657315694523
T25000logg3.4,23.973014954193157,23.65789046352825
T25000logg3.6,27.71847424481211,27.403786667048198
T25000logg3.8,30.660930645909545,30.34079847876521
T25000logg4.0,33.15277521857836,32.8513139597811
T25000logg4.2,39.591944969739956,39.25060222024959
T26000logg2.8,5.570863944686326,5.405894035459791
T26000logg3.0,12.613995438658202,12.266062004237659
T26000logg3.2,16.861149307472846,16.53810771653989
T26000logg3.4,23.669265641708964,23.33870422017554
T26000logg3.6,26.584093251284852,26.281433606927724
T26000logg3.8,31.602489923982017,31.268846469643453
T26000logg4.0,35.20391629784352,34.88450840458578
T26000logg4.2,34.4147704998584,34.12335555458865
T26000logg4.4,35.43479945244615,35.15925446938418
T27000logg3.0,7.222630692244443,7.01354454180296
T27000logg3.2,4.688681434998032,4.601811186100463
T27000logg3.4,20.62271314750461,20.32399512188635
T27000logg3.6,25.552037413697715,25.30583372713211
T27000logg3.8,28.328853369349805,28.02648623874694
T27000logg4.0,30.582779692266694,30.315491009521484
T27000logg4.2,32.97988428797101,32.71281388186316
T27000logg4.4,34.572204975634946,34.31466141370361
T28000logg3.0,5.583226817408504,5.347880206666544
T28000logg3.2,10.162270707559577,9.902849544274368
T28000logg3.4,17.29364769257629,16.998744764467652
T28000logg3.6,20.697626079635913,20.44061200319755
T28000logg3.8,24.859783073619962,24.6010466329658
T28000logg4.0,30.302518803106825,30.02275856663958
T28000logg4.2,30.560226160000635,30.31302215056481
T29000logg3.0,25.158313822459984,25.181825977091094
T29000logg3.2,7.059761141719728,6.830551574766063
T29000logg3.4,12.144381757376403,11.914054658943959
T29000logg3.6,17.974074049001945,17.729272241885372
T29000logg3.8,23.456098563040342,23.199312525343938
T29000logg4.0,25.730734355401356,25.501117678540027
T29000logg4.2,29.929108844984047,29.691399597663217
T30000logg3.2,8.376521215363006,8.335932942123561
T30000logg3.4,10.827111727528054,10.584472287343052
T30000logg3.6,14.926425181498649,14.707075330605653
T30000logg3.8,20.40880967493538,20.174146162476877
T30000logg4.0,24.342601528958923,24.12035195007105
T30000logg4.2,26.785903746000347,26.56600249942021
T30000logg4.4,28.834572213555617,28.630673940916537
T31000logg3.2,6.667605422430878,6.633455120733957
T31000logg3.4,9.930568927409784,9.678224886539281
T31000logg3.6,12.583896426223541,12.372162595797
T31000logg3.8,17.928955926367077,17.71280732031751
T31000logg4.0,21.50591470810892,21.29543829262141
T31000logg4.2,23.194548159445592,23.001969260138964
T31000logg4.4,26.75465711192217,26.549821849015036
T32000logg3.2,7.0337645191656675,6.803141215896615
T32000logg3.4,7.199377002490949,7.154201635407326
T32000logg3.6,9.984227874969879,9.811611372809983
T32000logg3.8,15.467279017996269,15.272242298864398
T32000logg4.0,16.654018880117906,16.479058059636714
T32000logg4.2,23.927725226580293,23.715420802447728
T33000logg3.2,11.717003887349584,11.713504329130586
T33000logg3.4,9.762203827168927,9.517281176018047
T33000logg3.6,11.077386536718999,10.878120719445938
T33000logg3.8,12.360115294587757,12.204407572694906
T33000logg4.0,20.58249626709291,20.333006975260265
T33000logg4.2,19.521554520640766,19.353053131909288
T34000logg3.4,10.428834057823533,10.178819946529151
T34000logg3.6,11.47613922348836,11.273330266197208
T34000logg3.8,12.966781965685584,12.834582940970229
T34000logg4.0,14.365670619872745,14.216675141878403
T34000logg4.2,16.060215650869665,15.926546313372407
T34000logg4.4,19.851849202319062,19.69943692465229
T35000logg3.4,9.205525826441447,9.000862048111058
T35000logg3.6,11.0076570196798,10.813040698128956
T35000logg3.8,11.768765109534963,11.625962974845706
T35000logg4.0,12.123120094717443,12.030442152175263
T35000logg4.2,17.09066540115433,17.0059641182816
