,vsini180,vsini185
T28000logg3.2,"{'H$\\beta$: 4861.33': 38.0375980283516, 'He I: 4921.93': 13.098531780735074, 'He I: 5015.68': 5.312968435527228, 'He II: 5411.53': 20.001509266283808, 'He I: 5875.66': 4.676308837642798, 'He II: 4199.83': 1.7054474558423054, 'H$\\gamma$: 4340.46': 2.6817156750032796, 'H11: 3770.63': 11.346155617983044, 'H10: 3797.90': 12.260471383413249, 'He I: 3819.62': 2.1004163828790543, 'H9: 3835.38': 6.905693744500099, 'H8: 3889.05': 3.8204318825533923}","{'H$\\beta$: 4861.33': 37.27005948457134, 'He I: 4921.93': 12.483486649899556, 'He I: 5015.68': 4.994064330395625, 'He II: 5411.53': 20.275719986255982, 'He I: 5875.66': 3.838285501922372, 'He II: 4199.83': 1.7221624575001113, 'H$\\gamma$: 4340.46': 2.585533574940697, 'H11: 3770.63': 11.167783369778443, 'H10: 3797.90': 12.022526372578815, 'He I: 3819.62': 2.02083447064617, 'H9: 3835.38': 6.744185278318477, 'H8: 3889.05': 3.7095530544848216}"
T28000logg3.4,"{'H$\\beta$: 4861.33': 64.63388965511145, 'He I: 4921.93': 25.714562044756605, 'He I: 5015.68': 5.880556077170137, 'He II: 5411.53': 26.394081270603724, 'He I: 5875.66': 4.402575891880733, 'He II: 4199.83': 1.836362861341824, 'H$\\gamma$: 4340.46': 6.47934122987987, 'H11: 3770.63': 20.750380182102457, 'H10: 3797.90': 22.88073377560197, 'He I: 3819.62': 3.3036320452832224, 'H9: 3835.38': 15.925226612622867, 'H8: 3889.05': 9.322430664560596}","{'H$\\beta$: 4861.33': 63.809658057082736, 'He I: 4921.93': 24.807944595251456, 'He I: 5015.68': 5.550809890959093, 'He II: 5411.53': 26.645693647833436, 'He I: 5875.66': 3.607904699866056, 'He II: 4199.83': 1.850968576373444, 'H$\\gamma$: 4340.46': 6.376923229088169, 'H11: 3770.63': 20.565927421428743, 'H10: 3797.90': 22.62323591140594, 'He I: 3819.62': 3.1983713295287552, 'H9: 3835.38': 15.742118035301646, 'H8: 3889.05': 9.205381779492338}"
T28000logg3.6,"{'H$\\beta$: 4861.33': 67.84511075308377, 'He I: 4921.93': 33.63987937089065, 'He I: 5015.68': 6.221795318981196, 'He II: 5411.53': 30.985069097557993, 'He I: 5875.66': 3.6188856282101165, 'He II: 4199.83': 2.179268729118305, 'H$\\gamma$: 4340.46': 8.454512825049125, 'H11: 3770.63': 25.448143075425357, 'H10: 3797.90': 29.733460888955467, 'He I: 3819.62': 4.718492516604576, 'H9: 3835.38': 21.85826449258374, 'H8: 3889.05': 13.66863025917067}","{'H$\\beta$: 4861.33': 67.37715147508051, 'He I: 4921.93': 32.59882094285338, 'He I: 5015.68': 5.891185445603953, 'He II: 5411.53': 31.208941623015658, 'He I: 5875.66': 2.98483431072855, 'He II: 4199.83': 2.190564679565553, 'H$\\gamma$: 4340.46': 8.400088512773653, 'H11: 3770.63': 25.28173673242108, 'H10: 3797.90': 29.49431895190513, 'He I: 3819.62': 4.5967258212400575, 'H9: 3835.38': 21.684247288973744, 'H8: 3889.05': 13.578728254209356}"
T28000logg3.8,"{'H$\\beta$: 4861.33': 77.94597273546958, 'He I: 4921.93': 38.33918610915801, 'He I: 5015.68': 6.300294158599576, 'He II: 5411.53': 49.33518786961929, 'He I: 5875.66': 3.4077828516261848, 'He II: 4199.83': 3.293292760487518, 'H$\\gamma$: 4340.46': 10.298967841050118, 'H11: 3770.63': 27.137844163940738, 'H10: 3797.90': 33.530911661452485, 'He I: 3819.62': 6.309007618687288, 'H9: 3835.38': 25.506657448045356, 'H8: 3889.05': 16.912291665303428}","{'H$\\beta$: 4861.33': 77.54115261094444, 'He I: 4921.93': 37.26091568004258, 'He I: 5015.68': 5.980132428048007, 'He II: 5411.53': 49.430476149520786, 'He I: 5875.66': 2.7955803594098754, 'He II: 4199.83': 3.2969752971635984, 'H$\\gamma$: 4340.46': 10.256517659889633, 'H11: 3770.63': 26.99300951635146, 'H10: 3797.90': 33.308689422492975, 'He I: 3819.62': 6.171954826544741, 'H9: 3835.38': 25.341921487069865, 'H8: 3889.05': 16.835234158111604}"
T28000logg4.0,"{'H$\\beta$: 4861.33': 111.15609236447727, 'He I: 4921.93': 43.09387072994813, 'He I: 5015.68': 6.285469993156176, 'He II: 5411.53': 49.61258314453566, 'He I: 5875.66': 3.621935293507142, 'He II: 4199.83': 3.5157193621148677, 'H$\\gamma$: 4340.46': 14.951801274480923, 'H11: 3770.63': 30.244352117935186, 'H10: 3797.90': 38.61207782082296, 'He I: 3819.62': 8.742003171139157, 'H9: 3835.38': 30.96032125930612, 'H8: 3889.05': 22.833999105858314}","{'H$\\beta$: 4861.33': 110.59332080800361, 'He I: 4921.93': 41.979879362643885, 'He I: 5015.68': 5.9756547000440206, 'He II: 5411.53': 49.70483238674431, 'He I: 5875.66': 2.950775544535963, 'He II: 4199.83': 3.517885105318591, 'H$\\gamma$: 4340.46': 14.89067677649311, 'H11: 3770.63': 30.117135373043862, 'H10: 3797.90': 38.402418710447726, 'He I: 3819.62': 8.585332805037524, 'H9: 3835.38': 30.79732321780854, 'H8: 3889.05': 22.75786800955387}"
T28000logg4.2,"{'H$\\beta$: 4861.33': 102.5344577740697, 'He I: 4921.93': 45.588478307234, 'He I: 5015.68': 6.214369012810592, 'He II: 5411.53': 56.20644195783509, 'He I: 5875.66': 3.107488216574118, 'He II: 4199.83': 4.026802178764554, 'H$\\gamma$: 4340.46': 15.0443342894971, 'H11: 3770.63': 29.10118132298655, 'H10: 3797.90': 38.221003390976584, 'He I: 3819.62': 10.479961134033761, 'H9: 3835.38': 31.859471332267944, 'H8: 3889.05': 24.338725002957567}","{'H$\\beta$: 4861.33': 102.19843757780342, 'He I: 4921.93': 44.47753627665762, 'He I: 5015.68': 5.914158945581569, 'He II: 5411.53': 56.249380373641635, 'He I: 5875.66': 2.5337029233771777, 'He II: 4199.83': 4.026294198125288, 'H$\\gamma$: 4340.46': 15.004414405332872, 'H11: 3770.63': 28.998972875374708, 'H10: 3797.90': 38.037938911004645, 'He I: 3819.62': 10.324491502167284, 'H9: 3835.38': 31.713012924945534, 'H8: 3889.05': 24.277924892765967}"
T29000logg3.0,"{'H$\\beta$: 4861.33': 113.49535128528943, 'He I: 4921.93': 20.39268505319848, 'He I: 5015.68': 6.3322564596575885, 'He II: 5411.53': 27.447292093692166, 'He I: 5875.66': 63.2179172201451, 'He II: 4199.83': 1.9592347174897184, 'H$\\gamma$: 4340.46': 16.219713225052804, 'H11: 3770.63': 11.102393721784292, 'H10: 3797.90': 9.338324383790887, 'He I: 3819.62': 7.063337369959987, 'H9: 3835.38': 12.208308824521364, 'H8: 3889.05': 13.122951514938006}","{'H$\\beta$: 4861.33': 113.21850421136506, 'He I: 4921.93': 20.35663231043665, 'He I: 5015.68': 6.327689796378815, 'He II: 5411.53': 27.609437311823392, 'He I: 5875.66': 63.562771631302006, 'He II: 4199.83': 1.9344862797282596, 'H$\\gamma$: 4340.46': 16.224032534096896, 'H11: 3770.63': 11.130810997433118, 'H10: 3797.90': 9.363528299494668, 'He I: 3819.62': 7.065131775951075, 'H9: 3835.38': 12.241707921303126, 'H8: 3889.05': 13.147178655779987}"
T29000logg3.2,"{'H$\\beta$: 4861.33': 33.04681566139567, 'He I: 4921.93': 3.908061644259599, 'He I: 5015.68': 4.775309447835179, 'He II: 5411.53': 9.339644027643477, 'He I: 5875.66': 4.934603989898288, 'He II: 4199.83': 1.283885773905144, 'H$\\gamma$: 4340.46': 1.801070117228573, 'H11: 3770.63': 8.395475580967556, 'H10: 3797.90': 8.759850624289404, 'He I: 3819.62': 1.6465262518641186, 'H9: 3835.38': 4.312281233002302, 'H8: 3889.05': 2.513609348347447}","{'H$\\beta$: 4861.33': 32.281480859512364, 'He I: 4921.93': 3.644484568704365, 'He I: 5015.68': 4.480093137102368, 'He II: 5411.53': 9.582656001228138, 'He I: 5875.66': 4.052767668276328, 'He II: 4199.83': 1.3002903668492787, 'H$\\gamma$: 4340.46': 1.6948537678209457, 'H11: 3770.63': 8.239200658209917, 'H10: 3797.90': 8.539997025483448, 'He I: 3819.62': 1.585160983649861, 'H9: 3835.38': 4.155884860114669, 'H8: 3889.05': 2.4097490002410775}"
T29000logg3.4,"{'H$\\beta$: 4861.33': 45.71881672221401, 'He I: 4921.93': 16.684757660539002, 'He I: 5015.68': 5.376537305666933, 'He II: 5411.53': 17.350650659676017, 'He I: 5875.66': 4.082860270246134, 'He II: 4199.83': 1.3174213438322757, 'H$\\gamma$: 4340.46': 3.938764234242279, 'H11: 3770.63': 15.228831030211602, 'H10: 3797.90': 16.898690132807783, 'He I: 3819.62': 2.517945315598081, 'H9: 3835.38': 10.325025716501381, 'H8: 3889.05': 6.292280696981355}","{'H$\\beta$: 4861.33': 45.19215270471148, 'He I: 4921.93': 15.984040334975196, 'He I: 5015.68': 5.063494236904438, 'He II: 5411.53': 17.624414766901843, 'He I: 5875.66': 3.3560514735831215, 'He II: 4199.83': 1.3334150944057404, 'H$\\gamma$: 4340.46': 3.872488510507228, 'H11: 3770.63': 15.064148490497935, 'H10: 3797.90': 16.676199845345344, 'He I: 3819.62': 2.434049737817887, 'H9: 3835.38': 10.171773101892596, 'H8: 3889.05': 6.196427609784728}"
T29000logg3.6,"{'H$\\beta$: 4861.33': 67.21962265261139, 'He I: 4921.93': 25.97802137795406, 'He I: 5015.68': 5.676208749064126, 'He II: 5411.53': 23.931807419461453, 'He I: 5875.66': 3.784026522621769, 'He II: 4199.83': 1.54113820849789, 'H$\\gamma$: 4340.46': 7.275618813912426, 'H11: 3770.63': 21.84381882223097, 'H10: 3797.90': 25.38039237546704, 'He I: 3819.62': 3.8590015749551156, 'H9: 3835.38': 17.625505982885652, 'H8: 3889.05': 11.573726088361502}","{'H$\\beta$: 4861.33': 66.70972940153204, 'He I: 4921.93': 25.081134699511342, 'He I: 5015.68': 5.360860494646596, 'He II: 5411.53': 24.18040608205074, 'He I: 5875.66': 3.108120705761623, 'He II: 4199.83': 1.5548473961377551, 'H$\\gamma$: 4340.46': 7.214833774971737, 'H11: 3770.63': 21.685121805611416, 'H10: 3797.90': 25.155983262559207, 'He I: 3819.62': 3.7527898314095736, 'H9: 3835.38': 17.465280413235917, 'H8: 3889.05': 11.4821590351965}"
T29000logg3.8,"{'H$\\beta$: 4861.33': 84.13895575717285, 'He I: 4921.93': 34.25127632195849, 'He I: 5015.68': 6.030469562337341, 'He II: 5411.53': 38.305323791038184, 'He I: 5875.66': 3.5097626176465027, 'He II: 4199.83': 2.5289716103934285, 'H$\\gamma$: 4340.46': 10.330241570733257, 'H11: 3770.63': 25.63242720442411, 'H10: 3797.90': 31.37536274028409, 'He I: 3819.62': 5.503662165014996, 'H9: 3835.38': 23.637309805434764, 'H8: 3889.05': 16.2294196100461}","{'H$\\beta$: 4861.33': 83.66339001440411, 'He I: 4921.93': 33.218689242156174, 'He I: 5015.68': 5.711616774493223, 'He II: 5411.53': 38.47294927156579, 'He I: 5875.66': 2.8748446818145315, 'He II: 4199.83': 2.536862716896015, 'H$\\gamma$: 4340.46': 10.272614135779769, 'H11: 3770.63': 25.487516684384307, 'H10: 3797.90': 31.156758340640117, 'He I: 3819.62': 5.378078365081615, 'H9: 3835.38': 23.47414853745043, 'H8: 3889.05': 16.144281539461126}"
T29000logg4.0,"{'H$\\beta$: 4861.33': 99.4258978837618, 'He I: 4921.93': 37.39326248842186, 'He I: 5015.68': 5.656073961320037, 'He II: 5411.53': 27.72825692544713, 'He I: 5875.66': 3.124334510316185, 'He II: 4199.83': 1.9335455408377533, 'H$\\gamma$: 4340.46': 13.03393572131527, 'H11: 3770.63': 28.640199392129965, 'H10: 3797.90': 35.73685264864278, 'He I: 3819.62': 7.077561702933522, 'H9: 3835.38': 28.113793035122608, 'H8: 3889.05': 20.9050984545674}","{'H$\\beta$: 4861.33': 99.06193134507359, 'He I: 4921.93': 36.34994519559474, 'He I: 5015.68': 5.359820666836493, 'He II: 5411.53': 27.934574184362113, 'He I: 5875.66': 2.5778938064826207, 'He II: 4199.83': 1.9421087264080759, 'H$\\gamma$: 4340.46': 12.990539580032129, 'H11: 3770.63': 28.514617621034393, 'H10: 3797.90': 35.53960263632539, 'He I: 3819.62': 6.945906927103141, 'H9: 3835.38': 27.963196985849002, 'H8: 3889.05': 20.833274467378676}"
T29000logg4.2,"{'H$\\beta$: 4861.33': 106.18628686246954, 'He I: 4921.93': 43.21268757597122, 'He I: 5015.68': 5.882131438969552, 'He II: 5411.53': 50.350646903668085, 'He I: 5875.66': 2.9362286323548163, 'He II: 4199.83': 3.5346732792274023, 'H$\\gamma$: 4340.46': 15.1427581215407, 'H11: 3770.63': 28.65386046467692, 'H10: 3797.90': 37.56057067702331, 'He I: 3819.62': 9.516913767283345, 'H9: 3835.38': 31.783987181668607, 'H8: 3889.05': 24.388561234955066}","{'H$\\beta$: 4861.33': 105.86281581415248, 'He I: 4921.93': 42.120366447945806, 'He I: 5015.68': 5.588380660598759, 'He II: 5411.53': 50.43483270078134, 'He I: 5875.66': 2.403216828657537, 'He II: 4199.83': 3.536274325008488, 'H$\\gamma$: 4340.46': 15.100402163146724, 'H11: 3770.63': 28.548995359161417, 'H10: 3797.90': 37.37705129628653, 'He I: 3819.62': 9.36900818279845, 'H9: 3835.38': 31.632822177246187, 'H8: 3889.05': 24.322629216174896}"
T30000logg3.2,"{'H$\\beta$: 4861.33': 10.071301190797554, 'He I: 4921.93': 21.359593836471408, 'He I: 5015.68': 6.430289564671492, 'He II: 5411.53': 3.179072158315309, 'He I: 5875.66': 45.80270954366048, 'He II: 4199.83': 1.0362582523078883, 'H$\\gamma$: 4340.46': 1.5747167809626592, 'H11: 3770.63': 2.1715787456230395, 'H10: 3797.90': 1.8255677261337488, 'He I: 3819.62': 4.3443405548727005, 'H9: 3835.38': 1.16047305139271, 'H8: 3889.05': 1.5623531791470866}","{'H$\\beta$: 4861.33': 9.579167449378504, 'He I: 4921.93': 21.307565995955834, 'He I: 5015.68': 6.429106917771162, 'He II: 5411.53': 3.1117673622278534, 'He I: 5875.66': 46.187107723351325, 'He II: 4199.83': 0.9637094208419036, 'H$\\gamma$: 4340.46': 1.5242930864808653, 'H11: 3770.63': 2.1433844754045612, 'H10: 3797.90': 1.766522114523694, 'He I: 3819.62': 4.345462865300878, 'H9: 3835.38': 1.1331185776797654, 'H8: 3889.05': 1.53998931656639}"
T30000logg3.4,"{'H$\\beta$: 4861.33': 57.81740709971828, 'He I: 4921.93': 5.700622249557429, 'He I: 5015.68': 5.031365892423599, 'He II: 5411.53': 7.450340636274837, 'He I: 5875.66': 5.396379922528509, 'He II: 4199.83': 0.9632770126799868, 'H$\\gamma$: 4340.46': 4.2623584111541595, 'H11: 3770.63': 12.213988589257513, 'H10: 3797.90': 14.761915988475364, 'He I: 3819.62': 2.156257996272161, 'H9: 3835.38': 8.422455324334962, 'H8: 3889.05': 5.748971607659872}","{'H$\\beta$: 4861.33': 57.06456603846616, 'He I: 4921.93': 5.37770476025657, 'He I: 5015.68': 4.734400934768417, 'He II: 5411.53': 7.6897900807054755, 'He I: 5875.66': 4.452506083553661, 'He II: 4199.83': 0.9784479857429242, 'H$\\gamma$: 4340.46': 4.167468611960778, 'H11: 3770.63': 12.038675553148023, 'H10: 3797.90': 14.533190184391755, 'He I: 3819.62': 2.081556022582826, 'H9: 3835.38': 8.25685241571405, 'H8: 3889.05': 5.638508776825992}"
T30000logg3.6,"{'H$\\beta$: 4861.33': 58.25201448823198, 'He I: 4921.93': 19.136453381621813, 'He I: 5015.68': 5.254437507072789, 'He II: 5411.53': 18.32875026889776, 'He I: 5875.66': 3.7363483209151935, 'He II: 4199.83': 1.2275853203971925, 'H$\\gamma$: 4340.46': 5.742368468418123, 'H11: 3770.63': 19.08914721118142, 'H10: 3797.90': 21.53381451559087, 'He I: 3819.62': 3.0387902113441747, 'H9: 3835.38': 14.316635333976318, 'H8: 3889.05': 9.46075715033611}","{'H$\\beta$: 4861.33': 57.81615566542454, 'He I: 4921.93': 18.380234138591145, 'He I: 5015.68': 4.952632169966672, 'He II: 5411.53': 18.594453069964477, 'He I: 5875.66': 3.0777912149715703, 'He II: 4199.83': 1.2424141330781775, 'H$\\gamma$: 4340.46': 5.682822840070277, 'H11: 3770.63': 18.93572584613944, 'H10: 3797.90': 21.318790267289504, 'He I: 3819.62': 2.9507710402905647, 'H9: 3835.38': 14.163404107930987, 'H8: 3889.05': 9.369709473550476}"
T30000logg3.8,"{'H$\\beta$: 4861.33': 80.92773081261967, 'He I: 4921.93': 27.79764743678078, 'He I: 5015.68': 5.628501936424397, 'He II: 5411.53': 25.966089092782106, 'He I: 5875.66': 3.583629830559005, 'He II: 4199.83': 1.8814828133734554, 'H$\\gamma$: 4340.46': 9.018558035563757, 'H11: 3770.63': 23.015681792146427, 'H10: 3797.90': 27.627031296739023, 'He I: 3819.62': 4.61036847029602, 'H9: 3835.38': 20.337537613344534, 'H8: 3889.05': 14.51145696859539}","{'H$\\beta$: 4861.33': 80.48702196374916, 'He I: 4921.93': 26.881185807833077, 'He I: 5015.68': 5.319201371336455, 'He II: 5411.53': 26.20494665925962, 'He I: 5875.66': 2.934327865602149, 'He II: 4199.83': 1.89320823510904, 'H$\\gamma$: 4340.46': 8.961032188894864, 'H11: 3770.63': 22.87643268199879, 'H10: 3797.90': 27.422353594260233, 'He I: 3819.62': 4.499197121788403, 'H9: 3835.38': 20.185119623956815, 'H8: 3889.05': 14.425726835933956}"
T30000logg4.0,"{'H$\\beta$: 4861.33': 90.28467588077356, 'He I: 4921.93': 33.760864738696306, 'He I: 5015.68': 5.401046149814764, 'He II: 5411.53': 38.53860537635469, 'He I: 5875.66': 3.0874605143732357, 'He II: 4199.83': 2.592633132819557, 'H$\\gamma$: 4340.46': 11.517727438496147, 'H11: 3770.63': 25.185297096408075, 'H10: 3797.90': 31.74813767200378, 'He I: 3819.62': 6.30745694330931, 'H9: 3835.38': 24.99215254775215, 'H8: 3889.05': 18.69516085670553}","{'H$\\beta$: 4861.33': 89.95889930876248, 'He I: 4921.93': 32.77731685686166, 'He I: 5015.68': 5.112841827607202, 'He II: 5411.53': 38.69922940388578, 'He I: 5875.66': 2.549870870865663, 'He II: 4199.83': 2.599427839626203, 'H$\\gamma$: 4340.46': 11.473862925893044, 'H11: 3770.63': 25.06533309772883, 'H10: 3797.90': 31.558722092395396, 'He I: 3819.62': 6.180959090301298, 'H9: 3835.38': 24.84615739405279, 'H8: 3889.05': 18.621602692872283}"
T30000logg4.2,"{'H$\\beta$: 4861.33': 101.6055985014617, 'He I: 4921.93': 37.061199288400864, 'He I: 5015.68': 5.140731927339215, 'He II: 5411.53': 44.16453190291169, 'He I: 5875.66': 2.9849924658703184, 'He II: 4199.83': 3.0855935168481743, 'H$\\gamma$: 4340.46': 13.395758896307068, 'H11: 3770.63': 24.784451054809967, 'H10: 3797.90': 32.65886554750583, 'He I: 3819.62': 8.222449922288332, 'H9: 3835.38': 26.87638145692256, 'H8: 3889.05': 21.45029047133854}","{'H$\\beta$: 4861.33': 101.27083897786214, 'He I: 4921.93': 36.070314166405964, 'He I: 5015.68': 4.872542444829097, 'He II: 5411.53': 44.286272824849895, 'He I: 5875.66': 2.4446896303714323, 'He II: 4199.83': 3.0891026037888873, 'H$\\gamma$: 4340.46': 13.35452316447127, 'H11: 3770.63': 24.689364385774166, 'H10: 3797.90': 32.49391338309798, 'He I: 3819.62': 8.086527988331314, 'H9: 3835.38': 26.74651755899666, 'H8: 3889.05': 21.38742286426365}"
T30000logg4.4,"{'H$\\beta$: 4861.33': 109.7021622252756, 'He I: 4921.93': 42.27915300630473, 'He I: 5015.68': 5.300447665773575, 'He II: 5411.53': 41.598561588396315, 'He I: 5875.66': 2.622882702308011, 'He II: 4199.83': 3.108550569991994, 'H$\\gamma$: 4340.46': 15.684330735748608, 'H11: 3770.63': 25.397504742985603, 'H10: 3797.90': 34.49343382426886, 'He I: 3819.62': 10.405093780176784, 'H9: 3835.38': 30.014606187242958, 'H8: 3889.05': 25.40813953419432}","{'H$\\beta$: 4861.33': 109.48017530552696, 'He I: 4921.93': 41.24081357781465, 'He I: 5015.68': 5.032743651956273, 'He II: 5411.53': 41.724172266046246, 'He I: 5875.66': 2.159394549841876, 'He II: 4199.83': 3.11136847672418, 'H$\\gamma$: 4340.46': 15.650670202157318, 'H11: 3770.63': 25.318003245004128, 'H10: 3797.90': 34.34477625664614, 'He I: 3819.62': 10.262297234461192, 'H9: 3835.38': 29.892117964792817, 'H8: 3889.05': 25.351554560026695}"
T31000logg3.2,"{'H$\\beta$: 4861.33': 4.810225849366539, 'He I: 4921.93': 37.81329626968647, 'He I: 5015.68': 2.554238088712992, 'He II: 5411.53': 6.3266982990642155, 'He I: 5875.66': 15.47156304901392, 'He II: 4199.83': 1.122863648644388, 'H$\\gamma$: 4340.46': 1.6239757035889388, 'H11: 3770.63': 1.9916868896027586, 'H10: 3797.90': 1.5018407230762107, 'He I: 3819.62': 3.1394839423714456, 'H9: 3835.38': 1.488851227019916, 'H8: 3889.05': 2.1665413790227253}","{'H$\\beta$: 4861.33': 4.570557569403767, 'He I: 4921.93': 37.5900500144313, 'He I: 5015.68': 2.563600846840184, 'He II: 5411.53': 6.476959750427848, 'He I: 5875.66': 15.565161473930411, 'He II: 4199.83': 1.1109266750221114, 'H$\\gamma$: 4340.46': 1.5868732979595102, 'H11: 3770.63': 1.9440616204294432, 'H10: 3797.90': 1.4393354903894384, 'He I: 3819.62': 3.1505187574095954, 'H9: 3835.38': 1.4573741925054193, 'H8: 3889.05': 2.1460417600584485}"
T31000logg3.4,"{'H$\\beta$: 4861.33': 62.69991996282834, 'He I: 4921.93': 2.340291318734856, 'He I: 5015.68': 4.189095201007914, 'He II: 5411.53': 2.9943783602811536, 'He I: 5875.66': 6.049823930999634, 'He II: 4199.83': 0.6892238410676044, 'H$\\gamma$: 4340.46': 4.033199609448406, 'H11: 3770.63': 10.566127454815549, 'H10: 3797.90': 12.283121855123428, 'He I: 3819.62': 1.6779725699648256, 'H9: 3835.38': 6.896253090213895, 'H8: 3889.05': 4.7474199344318215}","{'H$\\beta$: 4861.33': 61.71031752716624, 'He I: 4921.93': 2.309558240174426, 'He I: 5015.68': 3.93761496758993, 'He II: 5411.53': 3.1328576773295675, 'He I: 5875.66': 5.020937875391572, 'He II: 4199.83': 0.6991188928853603, 'H$\\gamma$: 4340.46': 3.8918432413172086, 'H11: 3770.63': 10.411554303478349, 'H10: 3797.90': 12.055467903526074, 'He I: 3819.62': 1.62274979847831, 'H9: 3835.38': 6.722592087463292, 'H8: 3889.05': 4.624086123671029}"
T31000logg3.6,"{'H$\\beta$: 4861.33': 61.81785351433418, 'He I: 4921.93': 9.109070746875098, 'He I: 5015.68': 5.037884171175744, 'He II: 5411.53': 9.373448267485314, 'He I: 5875.66': 4.408584149401422, 'He II: 4199.83': 0.9796278567899793, 'H$\\gamma$: 4340.46': 5.319416621931048, 'H11: 3770.63': 15.040718206857942, 'H10: 3797.90': 18.02906695286627, 'He I: 3819.62': 2.5477863067344564, 'H9: 3835.38': 11.26849251541176, 'H8: 3889.05': 8.074807804819262}","{'H$\\beta$: 4861.33': 61.28451208393955, 'He I: 4921.93': 8.659015871017129, 'He I: 5015.68': 4.743091757323733, 'He II: 5411.53': 9.633526628220162, 'He I: 5875.66': 3.609775702002687, 'He II: 4199.83': 0.9943979474587592, 'H$\\gamma$: 4340.46': 5.2466678942859435, 'H11: 3770.63': 14.896767028444993, 'H10: 3797.90': 17.825897202659323, 'He I: 3819.62': 2.470496524523555, 'H9: 3835.38': 11.121727707554353, 'H8: 3889.05': 7.9800748021337835}"
T31000logg3.8,"{'H$\\beta$: 4861.33': 77.71131140867946, 'He I: 4921.93': 20.445542385870677, 'He I: 5015.68': 5.056415771192802, 'He II: 5411.53': 18.792060096203528, 'He I: 5875.66': 3.6100260678216474, 'He II: 4199.83': 1.397368647719489, 'H$\\gamma$: 4340.46': 8.203234856562167, 'H11: 3770.63': 20.8642182392006, 'H10: 3797.90': 24.65891226794576, 'He I: 3819.62': 3.808168844744613, 'H9: 3835.38': 17.636090509291275, 'H8: 3889.05': 12.964122021172864}","{'H$\\beta$: 4861.33': 77.26723678551444, 'He I: 4921.93': 19.68896954324722, 'He I: 5015.68': 4.769734396280293, 'He II: 5411.53': 19.053067222120657, 'He I: 5875.66': 2.9592440555300397, 'He II: 4199.83': 1.4111195389187676, 'H$\\gamma$: 4340.46': 8.140120984166971, 'H11: 3770.63': 20.72765429743419, 'H10: 3797.90': 24.460549483212223, 'He I: 3819.62': 3.711624932627699, 'H9: 3835.38': 17.488484877006226, 'H8: 3889.05': 12.875881727751393}"
T31000logg4.0,"{'H$\\beta$: 4861.33': 93.47780933591278, 'He I: 4921.93': 27.720702175984634, 'He I: 5015.68': 4.976036202516439, 'He II: 5411.53': 19.49566720015625, 'He I: 5875.66': 3.222682033519176, 'He II: 4199.83': 1.6061721274217995, 'H$\\gamma$: 4340.46': 11.02086666289887, 'H11: 3770.63': 23.050224252044057, 'H10: 3797.90': 28.54462315906802, 'He I: 3819.62': 5.1961408121366075, 'H9: 3835.38': 22.449542391378365, 'H8: 3889.05': 17.31051014427015}","{'H$\\beta$: 4861.33': 93.10111137817827, 'He I: 4921.93': 26.832492834290633, 'He I: 5015.68': 4.700886425426281, 'He II: 5411.53': 19.748733176896707, 'He I: 5875.66': 2.6524475327332078, 'He II: 4199.83': 1.6174224713963297, 'H$\\gamma$: 4340.46': 10.96717053789121, 'H11: 3770.63': 22.932217942473127, 'H10: 3797.90': 28.365025296109174, 'He I: 3819.62': 5.085940211869804, 'H9: 3835.38': 22.309211509621726, 'H8: 3889.05': 17.232600194570427}"
T31000logg4.2,"{'H$\\beta$: 4861.33': 91.468109365395, 'He I: 4921.93': 30.578369536079144, 'He I: 5015.68': 4.578868697051904, 'He II: 5411.53': 36.40768030322295, 'He I: 5875.66': 2.932698066722058, 'He II: 4199.83': 2.5305466456311847, 'H$\\gamma$: 4340.46': 11.52570929660901, 'H11: 3770.63': 21.350635071420637, 'H10: 3797.90': 28.31107000308224, 'He I: 3819.62': 6.9090467443648995, 'H9: 3835.38': 22.974162939555537, 'H8: 3889.05': 18.76768124421257}","{'H$\\beta$: 4861.33': 91.20649277472721, 'He I: 4921.93': 29.697142911422073, 'He I: 5015.68': 4.33141673367514, 'He II: 5411.53': 36.57356594224386, 'He I: 5875.66': 2.4124643846949745, 'He II: 4199.83': 2.536413203609763, 'H$\\gamma$: 4340.46': 11.490581895732523, 'H11: 3770.63': 21.26266765453609, 'H10: 3797.90': 28.160165133012956, 'He I: 3819.62': 6.787056247126731, 'H9: 3835.38': 22.858159662341677, 'H8: 3889.05': 18.70750457854457}"
