,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T17000logg3.0,522281.89176612196,493018.3729598526,466863.62062449363,441626.8093082922,419817.3068988134,400189.82071108115,381311.71884808934,364767.9211047162,349845.35841191903,335624.9194612543,323138.11921631143,311963.9805808697,301499.09042102157,292379.05206518155,284339.40644194104,276961.0586415438,270597.5726544815,265067.6296598493,260070.4859874059,255803.8664338568,252144.9538835463,248879.9242026041,246130.88326553363,243814.4529709799,241784.6722315495,240110.9374200123,238755.62261362627
T17000logg3.2,617118.1329977841,590896.4578273948,567364.5933785245,544575.2845985474,524816.5395681005,506977.3245819356,489756.55490555766,474610.2077503861,460892.2070324786,447755.27602749213,436161.66468776856,425724.8024408515,415878.80565081874,407230.5868316413,399533.8653612131,392387.22009823885,386146.0147517554,380636.8790068085,375564.09249429964,371145.8924286505,367259.34674630885,363688.92588728946,360579.48903155385,357848.2794241722,355346.56002195645,353150.40676075633,351238.97739352705
T18000logg2.2,362614.97328877007,326747.2441277458,295989.57251396234,267719.14700306195,244443.03956213733,224656.00946231882,206853.77227826498,192264.63767134194,180063.4507683672,169383.0415205386,160791.84481781186,153858.0361588458,148133.3405327397,143843.9525054886,140752.01329563154,138617.83209979266,137437.15294528074,137065.1221449412,137391.82206270265,138316.53666597072,139761.75661473768,141689.69264749528,143989.05194447024,146603.24054370937,149529.769078635,152710.0535011201,156063.3178852227
T18000logg2.4,327467.13183345494,290086.0310167772,257534.8936137733,227004.34105003768,201249.37938412817,178744.3328052382,157846.95069900938,140117.58192711836,124740.16525215525,110733.26687975245,98947.34562809044,88940.187713752,80143.30456644046,72973.22611055478,67174.60814724086,62403.12392081345,58782.731458773684,56154.81390325906,54318.849311415055,53258.057607163464,52878.36095295206,53063.31836812881,53772.44027791207,54923.34439200094,56457.654491517664,58358.71888142021,60538.69854933645
T18000logg2.6,364854.1132058021,327456.7760531859,294609.03255756834,263495.86226426746,236975.44556486586,213522.72049685012,191438.53975345893,172421.29660928523,155654.49044764042,140102.94193781432,126758.84575780875,115173.51622929827,104716.0611467659,95916.47592224683,88513.06453422911,82102.8374531581,76899.10501363187,72737.31508554252,69361.54518089598,66823.173561813,65021.30529877854,63795.022863658014,63145.54943159592,62995.70784081195,63255.023586052725,63911.72558095379,64909.74407811055
T18000logg2.8,416261.5231828652,381288.59409752337,350388.4015789684,320928.72777111107,295679.18715142814,273190.8761201267,251825.74614085993,233276.28374984377,216753.98806783656,201243.00786951807,187782.30701184296,175929.396230471,165044.33401076254,155719.7111912447,147691.6579327031,140536.96598064236,134537.84509936644,129523.53949172673,125210.54862885996,121714.4583266385,118926.54760560053,116660.38757712775,114961.67092830481,113757.91146619566,112935.56499331913,112498.57785255392,112416.22395015307
T18000logg3.0,487457.4874028199,455210.13426723203,426556.88733871793,399087.1579822658,375436.1905330892,354262.93240109476,334025.56220026634,316357.0149324211,300512.37966804183,285518.09281206084,272405.2388417054,260747.86934007372,249917.9529099412,240528.66476595704,232321.9093543807,224870.77572000108,218496.40785104153,213026.42025561086,208163.51612671945,204068.9589773084,200629.01629198846,197642.16179440648,195188.31491937043,193199.5770452769,191548.239106415,190247.57443999476,189291.82686888712
T18000logg3.2,564492.7124603363,535533.2132655937,509673.78621689393,484773.0878537494,463259.30750172504,443931.40221861214,425385.3220673744,409134.28856266476,394497.99926534214,380577.57865423406,368344.25276275363,357403.1177893993,347164.4263473754,338219.8530555165,330326.106564822,323073.5494494252,316791.6052153983,311312.124379407,306343.22486282425,302067.73615226365,298372.5385185311,295056.55330689054,292213.56922552036,289786.3840013865,287644.8376672742,285795.93509927654,284264.398612592
T18000logg3.4,643213.4461306513,616482.2242090008,592539.0219357903,569423.1342915484,549404.8817627558,531385.7985045918,514063.77257893013,498857.9447878298,485139.77156471025,472068.9076952853,460562.43098739814,450250.9034414402,440577.7234102959,432107.3397966559,424607.35273959185,417686.3989061727,411668.47884744604,406385.6337374114,401556.5566042981,397368.8787278596,393707.2419479799,390378.5413994801,387475.5731133091,384949.14432035777,382673.03920556104,380640.52824896,378898.98687161895
T19000logg2.4,320027.16939644236,283327.0908321738,251735.74295571033,222504.0193859716,198136.9502461664,177171.6781377018,158070.77217179583,142147.31385628902,128625.571873773,116595.59402263787,106680.8246043696,98472.59701422138,91472.75548244371,85951.05191702681,81688.34818887389,78401.33879440985,76121.3631884981,74720.5060920209,74050.12424128184,74044.63530806008,74632.11077597094,75730.72484774023,77288.54514923399,79216.41323749516,81481.57809771046,84081.50137827043,86901.49094813509
