,vsini75,vsini80,vsini85,vsini90,vsini95,vsini100,vsini105,vsini110,vsini115,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300,vsini305,vsini310,vsini315,vsini320,vsini325
T28000logg3.6,171440.44889813688,165798.2600691476,161475.29936885566,158333.74912805093,155731.07957189015,154019.7322724022,153038.73962538468,152545.26416988374,152599.1713547021,153081.59049235375,153951.21323576887,155132.23603472218,156558.92261740318,158269.72555287855,160131.75498167524,162129.95495323243,164317.59077949065,166548.52452415793,168859.49989117114,171283.70968720602,173681.75016333288,176145.8756886223,178664.85076382814,181124.33520323102,183638.06630975055,186171.89089193635,188630.3752723384,191136.91969475363,193640.55711226026,196068.969461411,198529.9215987946,200978.52997179222,203349.92197839147,205753.67468690558,208132.70408074604,210439.04379407348,212769.67956442738,215069.84139830284,217305.38407788018,219553.03601129388,221768.12908051314,223927.93833035833,226087.31942381032,228213.51022000052,230291.94854847985,232363.76353477687,234400.06917664563,236394.61527960922,238381.92214727635,240328.9111746825,242242.17391665094
T28000logg3.8,205894.125898384,200891.5879241865,197084.65625536427,194346.63047107914,192115.67197783184,190694.122663422,189932.93802607997,189630.32340637865,189823.1905090202,190402.0229911917,191345.84865397634,192569.82466014847,194014.334966875,195728.5376392816,197577.35224940215,199549.0892012514,201703.69481396157,203894.48323183638,206159.5202436907,208536.21065097346,210885.60171544974,213296.12226103924,215763.09973027522,218170.18746938344,220629.24594975522,223109.2193721898,225513.50526667753,227964.0687639583,230411.84249253332,232784.71193825515,235186.7710365045,237576.67144872248,239889.3624758441,242230.80603351197,244546.5805158027,246789.91388039218,249052.05525945325,251282.27271670927,253449.49378379725,255619.0432657702,257755.209141881,259837.9399074614,261908.87373504962,263945.3906666001,265935.3132085304,267908.53864933347,269843.85360192484,271737.7568844838,273615.0777131769,275449.107287857,277249.4794027574
T28000logg4.0,269141.5670046262,264616.05314122385,261177.54249884927,258688.7298088552,256680.39525324717,255413.17480253003,254739.92081070464,254498.5405164568,254712.63671565123,255281.79472921934,256191.56404407986,257358.40001053535,258738.1693877466,260365.5096873119,262112.46708830493,263994.6367454927,266037.59573426674,268106.6968683334,270273.73848751717,272530.5040105031,274754.53724808217,277063.87898134865,279409.538707271,281696.23935653054,284049.40930837573,286408.0962173583,288698.5287523078,291037.3052427447,293363.4495644973,295620.2656201084,297911.9534474087,300178.7701957023,302382.7866391756,304602.8331763282,306792.22192288237,308927.30974804866,311060.05365758395,313158.3328078418,315208.429201038,317245.62671396387,319241.721013176,321197.08023063117,323130.99054403265,325019.4102037114,326873.8332425392,328699.1895935528,330472.78647727176,332228.50170157355,333943.97467663285,335604.98676947155,337258.4576906224
T28000logg4.2,287536.49897432,283853.4221503894,281121.3014012952,279225.43065621186,277782.5695565225,276985.93277130474,276706.52904360206,276837.1036241201,277360.5346169988,278185.68728075165,279338.9124613488,280709.3070309273,282252.64479973406,284040.11030129285,285924.7506954336,287908.70684874454,290059.8018213483,292225.2314986293,294457.0506126774,296790.41177109897,299087.6225701775,301436.1609614331,303837.8406162862,306171.41822705884,308556.7546941567,310956.662638616,313278.6804014798,315640.4805573884,317997.11839792,320275.8306276595,322582.70902032894,324872.4521983625,327084.5065663598,329321.1178217952,331527.9463692281,333662.98139655363,335810.8614235169,337922.15431062767,339970.13067224337,342015.76048486965,344020.6537276697,345971.3715082493,347905.54362128477,349795.7952299482,351640.9168595173,353460.89379614143,355234.77716926206,356968.6501056037,358673.88914640504,360327.02185291226,361951.7260465043
T29000logg3.0,500809.1327785505,500499.8144418863,500414.8909094046,500483.6598757671,500684.1364596131,500979.5614509386,501325.65520972654,501766.1201652854,502249.40554391115,502744.48887200176,503323.25060342636,503926.3391290866,504525.98533381696,505209.140379787,505909.02005816746,506597.39572517306,507370.6192328403,508154.7555911936,508920.79583002697,509771.1613024495,510627.4583006903,511459.2626481998,512374.32520902983,513290.7981188256,514178.38409362786,515146.97137649346,516111.81736991357,517046.08193023567,518056.9112692141,519060.3973882612,520030.0491310004,521071.7786389604,522102.1922195055,523096.7905679168,524157.27521366504,525202.6513551376,526211.8184342475,527281.5195495378,528334.5518510597,529352.4481570818,530427.893487113,531486.195799394,532509.9071361669,533588.4307866071,534648.0558213288,535674.0856366617,536751.2570241835,537808.2862074764,538833.5217866215,539907.3209767869,540960.2495866338
T29000logg3.2,88782.06339917704,83936.34549334174,80235.56947091647,77530.07470239192,75314.8973655082,73887.62966869066,73096.28448667872,72773.72167301673,72959.6059095028,73543.64230261443,74522.9370228693,75804.67549094468,77333.63747816542,79165.61281824215,81150.53455617091,83287.3318272452,85635.98691565772,88019.32057810045,90529.12832605928,93162.05226761382,95769.14308883401,98470.94625725091,101246.20729381313,103964.09766167858,106759.80073200996,109596.57026179654,112357.80247018929,115194.1080879459,118046.50660128478,120809.7492201564,123659.52938575271,126501.86030880403,129251.42761034449,132089.2808316557,134905.15617337648,137630.10278767266,140439.77065799318,143218.19177331013,145909.83613489795,148681.3087109819,151414.9202285135,154063.7786011155,156792.14072702947,159472.9361330376,162077.18319376855,164756.06040778273,167377.07678129745,169938.66577875812,172561.49379451128,175121.32766615695,177639.65066459135
T29000logg3.4,94183.36431185805,88843.67675516657,84795.12688220474,81874.0952136502,79510.82511185567,78017.64966448136,77224.29415798158,76939.5068151659,77193.82460831068,77865.7644737279,78948.01827675564,80337.50627666112,81972.66426332308,83912.18282518446,85997.7103985243,88225.60021313265,90658.06156485301,93119.65057990406,95684.8243285536,98367.72877397428,101015.8912617272,103743.62079358281,106534.90394376464,109258.43212423057,112051.67475793937,114873.06321855065,117613.54545495706,120415.12292140815,123223.3722510456,125943.24809085397,128726.19107606306,131497.6642779717,134179.7732982462,136924.7113235852,139645.6203126553,142281.7300651923,144974.21180261284,147635.7562756168,150218.33840205942,152851.21522763337,155447.73436899236,157969.87383440352,160540.7485436092,163068.20144098348,165527.6426603847,168032.9667815455,170487.5548249992,172885.71544635508,175322.05536286917,177701.2565830572,180042.2127643489
T29000logg3.6,141753.95963221707,136474.0222436299,132455.45260771638,129542.70500955457,127173.20842037287,125658.84381124527,124833.44965698099,124501.87053992349,124699.12917317903,125307.66386668447,126311.13480409032,127615.22734118553,129162.25648997517,130999.16569521897,132978.42342470115,135100.49269038826,137414.10141534754,139754.63978208794,142202.31353910634,144754.40653574062,147270.57562051306,149869.17182075357,152517.86147350667,155098.25157292795,157748.64855455083,160413.50165063687,163001.11433597992,165640.0942959771,168275.72739724317,170827.6256820705,173429.77208752104,176010.9309196759,178511.49270404814,181053.34689356503,183565.43753333492,186002.17323729408,188472.3008006167,190906.1079536587,193272.39142943948,195662.58202085982,198012.79875590373,200302.41601402705,202610.79019725,204874.35447925885,207085.02052222576,209310.46790597303,211484.51426307717,213619.28028669104,215760.37497080056,217844.6139426327,219906.77582737367
T29000logg3.8,191808.34899913552,186848.74058426043,183071.85069762656,180335.64887618035,178113.39924283169,176698.32807992937,175934.78200938847,175639.15133479264,175842.73781304283,176436.00750515732,177402.8393760339,178653.33991568536,180134.95695337275,181890.48494905315,183780.1766810443,185808.05021996485,188016.77780599345,190251.89872352566,192590.09903843014,195027.32065214904,197429.81801924674,199913.9261556127,202443.27337962113,204906.0840076752,207438.28549848983,209980.12445971285,212447.10418092352,214962.8603642769,217471.0453387388,219899.93186836276,222371.6682607559,224820.22235413973,227193.93951769712,229597.79233911715,231970.79377188452,234275.1686774578,236598.55871988006,238885.33977881292,241111.70602141766,243345.24639654983,245538.50241762993,247678.14957655862,249818.81912756633,251914.3511866651,253963.5797916537,256008.98842299037,258003.40530594144,259964.37143723905,261913.04510540876,263805.1665893171,265680.8959459134
T29000logg4.0,239485.77326657323,235369.73389203235,232274.29741686772,230076.73178788973,228350.77599367345,227326.61745219087,226867.83919433097,226843.34100577002,227253.78163270265,228003.0285582667,229102.92059992853,230448.0202130346,231994.03097118725,233800.5391159876,235719.56430581803,237759.3986941485,239974.76743854542,242206.8438353927,244529.1036338236,246951.19985890787,249333.63851571415,251788.90895539842,254291.3794098186,256722.21216837165,259219.20349116655,261725.5023197451,264153.0803066408,266625.6232353708,269090.2078827525,271470.9226948333,273892.6310224712,276288.832179172,278606.5067484899,280950.1362539816,283260.3987484321,285498.8576762428,287750.19172457565,289962.0659254447,292111.24340393057,294258.9437656297,296363.75288275845,298414.20438040013,300453.7173765208,302446.3632746275,304392.8243014323,306322.217758297,308200.21917511756,310042.4700064452,311860.12828563567,313620.3599716278,315361.74112562084
