,vsini75,vsini80,vsini85,vsini90,vsini95,vsini100,vsini105,vsini110,vsini115,vsini120,vsini125,vsini130,vsini135,vsini140,vsini145,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300,vsini305,vsini310,vsini315,vsini320,vsini325
T16000logg2.8,4585.645681398999,4316.489699288892,4085.2271876926975,3900.837714629308,3715.653516137535,3558.1923198154896,3433.1505292035995,3310.2583384876552,3206.9797295603526,3125.7804616568856,3047.7482437990307,2983.5008507550488,2934.2796457089207,2888.536864114906,2852.5319199415053,2826.7240636743054,2804.242345594494,2788.454313727419,2779.3683398659628,2772.9725733905757,2770.907734496009,2773.041177647958,2777.1323570514446,2783.9858937923186,2793.442093890416,2804.4141304460604,2817.1662580658653,2831.4604974612143,2846.917783687741,2863.4182916022455,2880.709976296795,2898.7999712510855,2917.4090612412165,2936.328163690779,2955.779773334393,2975.4804404513125,2995.2338188930776,3015.360664853979,3035.5593088593864,3055.6346244780766,3075.918420644749,3096.105148656545,3116.000473179459,3135.8967354052093,3155.508899651604,3174.6722743664604,3193.645145993226,3212.199457969805,3230.2393161406953,3247.9780319267506,3265.2306652371904
T16000logg3.0,4360.042229423563,4127.715138174132,3928.2174566365366,3769.2950297134616,3609.9769883348986,3474.834500141902,3367.8595415253662,3263.2490475591717,3175.878461636462,3107.7140760415227,3042.8805326071665,2990.2074904210344,2950.537011967609,2914.4010678622963,2886.7875286083176,2867.867445166783,2852.2048741907647,2842.327792967359,2838.058436265795,2836.4073020397423,2838.4665146096368,2843.959760111532,2851.39686800688,2861.186319231321,2873.0417058730773,2886.432149428685,2901.3184840786494,2917.355755786558,2934.5846047002256,2952.6612917744037,2971.2452540621216,2990.667031042719,3010.474240429181,3030.3773011620997,3050.8458202562697,3071.4570482552103,3091.9456448828973,3112.82458368162,3133.684587498712,3154.2727934331974,3175.0683576440542,3195.690755714622,3215.904273009779,3236.1138158961926,3255.991058049286,3275.336963669741,3294.489917928302,3313.196481066822,3331.3256034752517,3349.1460703147477,3366.4642759065155
T16000logg3.2,4586.988344069904,4351.852945317935,4149.6862657287575,3988.191784875559,3825.6247482550984,3687.4652888863634,3577.7303614574903,3469.986812495554,3379.821496712252,3309.194291714792,3241.7327008785023,3186.731101509671,3145.003076993097,3106.6520283571604,3076.9949358480644,3056.213334276626,3038.4828752343774,3026.6461664715707,3020.58062727322,3016.940990014329,3017.136165274116,3020.949850110493,3026.558614433,3034.664404317497,3045.026363764089,3056.810825770474,3070.235065876227,3085.000160503239,3100.8598045482045,3117.7017033855095,3135.228685809922,3153.5015729467705,3172.28219703484,3191.315731315018,3210.8185524868236,3230.5576800597573,3250.2983959645235,3270.317304059975,3290.3764833086043,3310.2549104529808,3330.2106482872073,3350.0272133951235,3369.5073483961633,3388.8500458147287,3407.884167314675,3426.448754909255,3444.6887504061538,3462.502743253777,3479.7935555200834,3496.6506202889013,3513.0267520693083
T17000logg2.2,4385.799817815443,4072.4838552519186,3808.995024128113,3602.6641101007604,3400.0070736120383,3231.2538033473834,3099.23812422491,2971.3586212395835,2865.2874154040132,2782.617785584086,2703.6667133140736,2639.2016956227517,2590.2132585154272,2545.050020643225,2510.088605943827,2485.6769103731485,2465.1226873197093,2451.5712652189877,2444.9266755508297,2441.452527946463,2442.3816853105122,2447.5531509473053,2455.062903367209,2465.243314474866,2477.937238560138,2492.3977663549326,2508.415167755631,2525.7951758224294,2544.438099996144,2563.790003989596,2583.679236488254,2604.3335298535185,2625.196677305062,2646.1825058164923,2667.730436097347,2689.3513238022247,2710.9557523742787,2733.054488985013,2755.1545631335935,2777.1551594372777,2799.5701175757536,2821.905161481359,2844.016866904504,2866.369744333223,2888.470256084064,2910.1851716296123,2931.9447391369854,2953.299843413867,2974.1932387760235,2995.010717748436,3015.336910896814
T17000logg2.4,4849.6014122717415,4509.17823766632,4219.797826351055,3990.4074745949974,3762.0799348434434,3569.5915555678966,3417.007158872663,3267.445643728262,3141.9211542056196,3042.687945756601,2946.8172090116755,2867.381961917095,2805.732590197373,2747.860839733721,2701.744631859602,2667.947198308751,2638.082017569645,2616.420738409231,2602.9902404945883,2592.8051160509826,2587.865772505827,2588.087851332171,2590.6203553027535,2596.368484883713,2605.269356579187,2615.872318268786,2628.4006363025246,2642.7540542462343,2658.310017686965,2674.85238056803,2692.2942803713786,2710.4559783116947,2729.018548361402,2747.9740047256228,2767.4194944044216,2787.0804334119853,2806.9460824737403,2827.21734422691,2847.6046952338424,2868.07789853035,2888.852885357171,2909.6316480976766,2930.341139195937,2951.1542251778965,2971.770845025531,2992.1283115941446,3012.3651638193473,3032.2419489529357,3051.784302339395,3071.0758285891325,3089.910480832448
T17000logg2.6,5138.009467210504,4793.901971728754,4499.599077982375,4264.95575783859,4030.240665045306,3831.1308163132203,3672.384680356374,3516.0914693723153,3384.133483605762,3279.173024797413,3177.2812159436235,3092.2292922614756,3025.614540605762,2962.5242216421016,2911.518444147047,2873.347165361944,2838.8475250772453,2812.821981956737,2795.452241027903,2781.108940181934,2772.2552884412166,2768.9246817726466,2767.719015094537,2769.951830188057,2775.6675768669857,2782.951888503666,2792.3796981035525,2803.9450715026423,2816.6414484665775,2830.5488470969813,2845.652637243921,2861.4414582834434,2877.8307383592182,2894.861375611623,2912.322241654704,2930.141697684927,2948.3603994988716,2966.902999914833,2985.6699929441183,3004.6803487815446,3023.889290744114,3043.1776654854793,3062.5240228632165,3081.851058609222,3101.0357784668345,3120.0712139102825,3138.8454063139316,3157.308226626432,3175.5375540645027,3193.369976424146,3210.7943945479583
T17000logg2.8,5170.811298475629,4843.050937861725,4561.694872341925,4336.778865655755,4110.895497893217,3918.6457941198078,3765.081739782156,3613.5133487558564,3485.3045017896493,3383.2588642796895,3284.0831534725558,3201.221444335614,3136.3035764337305,3074.7235890954444,3024.833511577905,2987.407455098522,2953.412363140122,2927.599361445377,2910.191990746856,2895.5973934132753,2886.3341571933097,2882.4719541543836,2880.571010955666,2882.059951212332,2887.007387024994,2893.3959762370837,2901.964828053723,2912.7166955968755,2924.503068822189,2937.5912222073157,2951.9620877463794,2966.9457702117165,2982.6354431990812,2999.048503894784,3015.8133151342545,3033.013989396246,3050.6653229031344,3068.5468912390015,3086.701947728693,3105.125548612336,3123.645262809962,3142.266673306476,3160.9529478269515,3179.5241359248516,3197.9664325960975,3216.259886569692,3234.2191650485966,3251.8762973442163,3269.290163427197,3286.253545964888,3302.8170113942924
T17000logg3.0,5094.137199102465,4789.631479334028,4527.432119123068,4317.242455510758,4105.667342467578,3925.166708782554,3780.7233985229623,3638.0762131712963,3517.342943961092,3421.225206368922,3327.9355847314678,3250.0831660165854,3189.160687644501,3131.50300587272,3084.8852008468743,3049.978084348138,3018.3389795905236,2994.404145655606,2978.3442382418643,2964.953570914239,2956.5969863055893,2953.3055176937564,2951.902356795215,2953.734563604375,2958.8295222163883,2965.3529651153867,2974.003216134822,2984.7352633345527,2996.5192862368162,3009.612630828004,3023.9498497436966,3038.934784380531,3054.6527868411304,3071.0701160639396,3087.8489892296575,3105.070850999324,3122.7008121147187,3140.5315014900575,3158.6142392211646,3176.9013796693584,3195.2205264184545,3213.6022200132716,3231.9794287714785,3250.1613613480927,3268.1819365507504,3285.993883453453,3303.394272415791,3320.4724040380265,3337.251595207495,3353.503031499438,3369.346423850432
T17000logg3.2,4985.156636448665,4708.7320123331465,4470.192562277339,4278.70939160939,4085.5320208046,3920.5458609845646,3788.5412952461966,3658.186756967347,3548.0142434732293,3460.549014821108,3375.9168123005975,3305.6035645021043,3250.909902590827,3199.43815906223,3158.154644542302,3127.597381827249,3100.1656184597614,3079.7985948268606,3066.601436753069,3055.9200498421083,3049.8618296494697,3048.408477721069,3048.731063834583,3052.0545683050336,3058.34682220886,3065.990495115913,3075.6326130103366,3087.1637932719614,3099.71155274363,3113.5048396824177,3128.4123441741026,3143.9735593954424,3160.2340956084436,3177.0919538405815,3194.326160245132,3211.962449725394,3229.906035817615,3248.054805319574,3266.4060374338083,3284.8619376120846,3303.343723052391,3321.8318061689342,3340.2239922543004,3358.4172044652996,3376.4041342130117,3394.1103171866175,3411.4084361093614,3428.3520989474187,3444.934553579031,3460.9976246756382,3476.633127878062
T18000logg2.2,4060.9716908095584,3775.917579832064,3536.3070779051036,3348.5798335617465,3164.3725692477965,3011.123540221303,2891.2866654648,2775.5697185147073,2679.9864984931633,2605.8180888024453,2535.584680214384,2478.819637588859,2436.1741924904827,2397.5007274923946,2368.2557188318797,2348.523319570332,2332.6286072459434,2323.1087397778615,2319.7061296617644,2319.400868508869,2323.101729365963,2330.5354897702155,2340.384077487136,2352.6911078083485,2367.1623641438787,2383.571020274444,2401.420548252184,2420.3891622993965,2440.8650321803684,2461.9588778547636,2483.3962803821482,2505.874054754636,2528.4809349513384,2551.042862103468,2574.4185082099516,2597.750457716849,2620.880023960229,2644.656559559368,2668.288882823324,2691.631032881902,2715.460587895342,2739.0737517018474,2762.286486640196,2785.7642945677144,2808.8805378811708,2831.4601443192923,2854.0903305336856,2876.2356009240607,2897.7895145170096,2919.2522828712504,2940.166325939495
