,vsini150,vsini155,vsini160,vsini165,vsini170,vsini175,vsini180,vsini185,vsini190,vsini195,vsini200,vsini205,vsini210,vsini215,vsini220,vsini225,vsini230,vsini235,vsini240,vsini245,vsini250,vsini255,vsini260,vsini265,vsini270,vsini275,vsini280,vsini285,vsini290,vsini295,vsini300
T19000logg3.4,36658874.97460796,88473394.62657301,101517328.96434478,27383895.34974152,17268436.945709947,27210960.456480164,20060100.875490002,55318524.679915644,118052392.91681752,223123308.48844284,480393407.7758106,680710100.8997475,606195388.2175729,852955638.3277358,527814961.7908658,20900945.158147465,41887299.89644098,130963001.66188774,137728957.11048046,208366054.9533695,446657115.5975652,845736067.2859907,813441690.5696254,646882860.9021803,678194731.3056824,175060577.44620246,92496872.77710298,166289009.42274576,119263156.66291785,63601938.4645829,30653529.885258604
T20000logg2.4,501243962.93382084,1100577975.600036,998150886.1859989,92445665.80600885,99440101.21001638,320408663.68360484,179115013.09108013,671972333.0260462,1280541231.8967078,1321506107.167927,549094440.7320244,174287716.84431425,81050954.60925436,128754166.1905988,258357250.34284648,213853286.32330194,61195536.760193266,16327422.43366147,12972727.27763168,71231888.01939209,187972723.5405133,358234010.7060361,363199647.65372336,455016813.8439088,508614893.02112275,1276952930.587996,1253605907.2557073,266428275.34049702,22008362.966087736,64813318.131386414,134191028.72480027
T20000logg2.6,1081781409.2572742,1529209946.4499502,729889779.6233013,72809744.45907551,397517750.0360863,705336144.3685762,461927949.32220685,1133150391.394896,1438961701.2515395,1394618270.6486719,439860493.3901652,200523673.50372067,134275001.7326576,380220239.43072784,400897830.6967584,174422973.95984876,35350078.35189187,46816348.19674416,46238582.040174045,187282253.6159094,365732291.2684262,625980230.9158123,638644077.4211609,726635655.9904802,956119978.6147678,1270167593.1558316,595703279.2810094,70630704.36982945,49024488.474778816,130821826.52317655,192713132.97353685
T20000logg2.8,651270843.0806329,1324196682.5672429,651824419.8773688,27291329.93601218,145022903.43730336,370152754.397632,255649932.33156753,606429857.7421952,1187787472.8891864,1176356157.2388866,617405215.11145,305851217.66138583,165510636.86895815,445499579.13051546,533086060.7600892,248859128.4967124,50608533.22966112,28423876.912478704,41243616.01317545,158166468.53986445,355923687.8536559,701815988.7158926,658336984.4204218,659618013.7103149,723676514.6080974,911349887.0748451,624129491.2239974,151952210.38636413,44186095.27979709,66540689.388696,106115769.36383389
T20000logg3.0,398204503.4042521,632877156.1532365,709106734.5153358,130544385.33890033,77753733.50049987,172721023.6091072,103778037.67200162,362369945.5170311,675467139.7295316,973840710.4713936,610723288.0850598,377451054.9487665,221755802.78070655,502585499.41586745,575389457.5934339,312474064.8882681,45043777.94643474,29133540.759803258,24691496.273285415,154624588.04948652,363037497.58698845,715530375.7877138,678719705.5851433,601576809.8588719,582213396.285396,587090459.1423794,536544105.25588065,257527353.45044708,89210939.62555179,46527805.83463324,49748105.980685204
T20000logg3.2,378842266.0085342,494199037.8974754,132361212.69110687,42185145.929786585,218382916.74069023,312213425.0366021,168277003.85608608,438983867.6162318,483805488.9023879,409460847.06052685,203011493.54679865,224170759.90410632,164881819.96930772,549465922.6411313,632515522.8121312,260174590.31714836,23625339.379919313,18573044.181197274,23168661.064669233,165736516.68860993,311270529.6267455,750728864.437142,760013438.1800976,712151780.761831,773927869.4855688,548857137.6645423,231515558.837076,81304930.2197996,67984789.7598625,81145342.81018245,92705700.63702618
T20000logg3.4,117514410.57972248,257779943.0078535,181912584.17600018,39629642.45208885,24023534.13088071,76380452.83022538,48412323.4259737,166032080.80892712,288831150.0142885,354644522.62352055,309205291.5052274,399883497.485598,342655705.4825188,689109184.5023932,535929759.65396464,111536967.86190823,12637554.898468575,65640551.25725856,64824728.49991526,199553731.10639527,395796936.7053952,723376429.4938504,713277374.9158565,581818041.879445,500078005.78144675,275842975.21640646,226443381.9561251,192875704.27085894,93316350.90655334,47527483.84965936,36158774.12222715
T20000logg3.6,59420618.884827055,176112632.09851658,105671348.20105916,34032137.539523974,21512795.918055944,54565710.40045263,32438767.71075686,109131353.87396911,189885036.45022127,251889159.8957997,274908580.4133989,414304820.87867177,392148462.5091627,689748444.9807937,547145570.1789585,57562027.077467695,18001199.940534107,68007900.36873992,65272196.83237733,192259189.8261126,374167595.72551066,706917128.6771019,671696404.3088052,545120778.8520534,531886885.22822154,219733554.6503819,143569476.51533958,154660794.38189027,88838809.53011504,46589567.45672918,31101477.023292124
T21000logg2.6,557760956.9080464,1090883894.9713898,1066401151.119951,235848129.80022448,118990331.3336798,320512121.51957774,271428363.2624707,571140421.1346438,1340126300.587016,1631878025.9775314,691563018.9320753,298679628.0126153,194030494.7073686,191154892.34079418,302212720.54577893,175492016.86950332,50334015.06110436,28525988.239753753,31821090.47233162,131837347.75740437,280439289.7880947,381382089.7565196,354245040.16221464,394755057.17963356,411426431.8889308,1169164901.7626855,1240835264.2568166,301091119.22652704,36367261.26861893,51148414.16321331,100302938.31810918
T21000logg2.8,473383540.63824797,1143534170.762666,1492328661.1176374,306272690.0891457,99579183.70787744,220590527.55509552,153804872.87152746,593987499.2894967,1330626949.0351596,1767984787.0434048,1077272289.471076,558499177.7642384,392289164.98402107,248914778.46461207,390209186.0046524,280554035.3848958,72274420.41882545,39645410.55188635,40100874.70277728,135041008.70933598,292446478.5306248,505442600.23476326,466587554.6737898,424276633.34931564,367551721.1371257,952168095.9474709,1158161722.4574547,429091219.43740225,86998627.70256096,33797660.56468127,76695563.00491886
