,vsini100,vsini102,vsini104,vsini106,vsini108,vsini110,vsini112,vsini114,vsini116,vsini118,vsini120,vsini122,vsini124,vsini126,vsini128,vsini130,vsini132,vsini134,vsini136,vsini138,vsini140,vsini142,vsini144,vsini146,vsini148,vsini150,vsini152,vsini154,vsini156,vsini158,vsini160,vsini162,vsini164,vsini166,vsini168,vsini170,vsini172,vsini174,vsini176,vsini178,vsini180,vsini182,vsini184,vsini186,vsini188,vsini190,vsini192,vsini194,vsini196,vsini198,vsini200,vsini202,vsini204,vsini206,vsini208,vsini210,vsini212,vsini214,vsini216,vsini218,vsini220,vsini222,vsini224,vsini226,vsini228,vsini230,vsini232,vsini234,vsini236,vsini238,vsini240,vsini242,vsini244,vsini246,vsini248,vsini250
T16000logg2.8,3130.1308123123936,3120.012568743953,3106.013551530107,3093.1538461608247,3083.3737229449744,3069.9707424613684,3057.646751763042,3048.1934270085476,3035.3467239483343,3023.5225852853755,3014.379957940774,3002.0482683633318,2990.6865563911556,2981.835138377492,2969.977157198002,2959.039374813595,2950.4568514769526,2939.0304491539887,2928.4769808293995,2920.1384599014627,2909.1015543462463,2898.8926087962145,2890.771648740264,2880.0827157143,2870.178804035011,2862.2481051324894,2851.8661336582,2842.228238994584,2834.4600834752337,2824.3449353167657,2814.9353880940102,2807.3025287225914,2797.4160431802156,2788.19935431894,2780.675819304634,2770.982497504245,2761.926246250129,2754.488183384253,2744.9562374626416,2736.0320278138656,2728.658587573969,2719.2610578729536,2710.4456320428726,2703.11997124458,2693.835663583833,2685.1115779268107,2677.821475728785,2668.6352798072635,2659.99081985402,2652.7286576480437,2643.630643469749,2635.05901009078,2627.821136480478,2618.8058231515906,2610.304114282132,2603.089985066038,2594.1548305850547,2585.7223812385732,2578.533141600866,2569.6765578036875,2561.312720405616,2554.149361652193,2545.368587271869,2537.0712337177147,2529.9333778087184,2521.223843662604,2512.9887798034024,2505.874098990764,2497.228915428128,2489.0497673163845,2481.9538021227404,2473.3641355964864,2465.232712545646,2458.149120023672,2449.6046215664333,2441.5114578872663
T16000logg3.0,3594.666045861173,3585.602393170551,3572.9807179297613,3561.3564009972843,3552.5211057235997,3540.330714387443,3529.0917056723965,3520.476019320403,3508.685624468931,3497.8034142620904,3489.394333443589,3477.970854419849,3467.4147707635143,3459.1957630269985,3448.104984583163,3437.8427375710025,3429.7943919553595,3419.001097384463,3408.9990537505482,3401.0995233147396,3390.5681417746105,3380.792228904972,3373.018189467847,3362.7133557898605,3353.129699465221,3345.4571439697042,3335.3441008835557,3325.9195793845,3318.324466618051,3308.3697482281873,3299.072925886906,3291.532073996158,3281.704185339038,3272.5058183541773,3264.9974567279305,3255.267712915738,3246.141857465739,3238.6466470464707,3228.9903623018845,3219.9153195853296,3212.4172134188266,3202.814460203774,3193.7734128193447,3186.2602338349925,3176.6962677956253,3167.6776026768152,3160.141453156636,3150.6067819610917,3141.6040297833724,3134.041191757715,3124.5312360550206,3115.542495986625,3107.9529803569903,3098.4669371126065,3089.493393291722,3081.8796827194205,3072.418682229687,3063.4627653888233,3055.828321813212,3046.3935742032795,3037.4570816615733,3029.8047173846244,3020.3958382592473,3011.4787183048197,3003.809638694222,2994.4241370494274,2985.5241651486444,2977.8375465352456,2968.4707091614923,2959.583598675984,2951.8766573867447,2942.5220058157865,2933.641860076609,2925.9101114333557,2916.559760735224,2907.679479088537
T16000logg3.2,4111.52282493542,4102.5125564974,4090.035171058777,4078.511870660806,4069.69463828662,4057.601777301728,4046.418066136118,4037.783476982503,4026.041374476994,4015.167615451626,4006.7020995486478,3995.276034419945,3984.6807576213373,3976.367659841247,3965.2215042328367,3954.871546912218,3946.6913317400044,3935.787591516249,3925.648054241313,3917.5783860837387,3906.879176998877,3896.9149028472093,3888.9318783374642,3878.4001565667795,3868.5765037847186,3860.6553865762753,3850.255561220536,3840.5391895196744,3832.6552844489684,3822.354153480245,3812.7141372412843,3804.8438858918407,3794.6116923489653,3785.0205199968796,3777.142549793699,3766.953582804965,3757.3875341721687,3749.4832349706767,3739.315830773531,3729.7554571670225,3721.8095898503443,3711.6468647261995,3702.077652385861,3694.079004249409,3683.909408381688,3674.322465186672,3666.264539185384,3656.0825240146833,3646.4747537107432,3638.3558919078264,3628.16103421782,3618.533975067352,3610.3564056867253,3600.1517899842247,3590.509885480585,3582.278317109357,3572.0685716224702,3562.4170742136134,3554.1369401823094,3543.926055116378,3534.2690197875318,3525.9447849975104,3515.734613125101,3506.073785998479,3497.707934773504,3487.4974823610028,3477.8319147773545,3469.4245573756953,3459.2104728328436,3449.5371225643175,3441.0863277288095,3430.863038487808,3421.1767352164543,3412.678410587517,3402.438532516896,3392.732735237126
T17000logg2.2,1038.1039860927765,1026.6073320939963,1011.2963693221263,997.4783254333994,986.9086038346413,973.0052309696636,960.4587637910693,950.7843432509296,938.2006478736006,926.8482242777911,918.0315747349736,906.6815279442695,896.4478987615719,888.4495864520883,878.252131594358,869.0659005768882,861.8462042874067,852.7241104432893,844.5158472045362,838.0336955797944,829.9102490935326,822.6098010582907,816.8210942649685,809.6181730276409,803.1535370149622,798.0105903783362,791.6484746585111,785.9460286614207,781.3980258142252,775.7963966136442,770.782121174065,766.7763005310131,761.8559157163209,757.4570806424455,753.9403110110286,749.624966011694,745.7720731225794,742.6926541398502,738.9113359755602,735.5401786138207,732.8497002226966,729.5385845652047,726.591970129358,724.2468427486854,721.3505939423478,718.7794269535962,716.7419032169885,714.2143699309829,711.9780300537693,710.2166610160917,708.0206354807597,706.0866686891504,704.5762081186763,702.6826849012399,701.0259350557226,699.7467273968584,698.1333438823946,696.7340739938633,695.6706268471265,694.3185896355184,693.1592710928369,692.2977876294933,691.1882506485206,690.2508192789398,689.5770335005915,688.6896496282874,687.9547419279446,687.4532130190447,686.7663666422364,686.2136156076119,685.8678271445982,685.3591763466311,684.9676670996942,684.7603288536894,684.4074135533358,684.1563158564746
T17000logg2.4,1582.6847469993613,1570.6980543705276,1554.5737940302251,1539.9087488886598,1528.655539106709,1513.69473801707,1500.0798811255559,1489.5406574006097,1475.676907851303,1463.054074271027,1453.2041435603423,1440.3718130870543,1428.683658186326,1419.495931341656,1407.6318591792015,1396.822608866083,1388.2684568913905,1377.3109957884576,1367.3251938018432,1359.373735958176,1349.2608566973593,1340.041819280897,1332.6590184119282,1323.3271577765295,1314.816308505497,1307.9647340498911,1299.3487148678537,1291.485825191586,1285.1250779075358,1277.1588403515566,1269.8830092494488,1263.9706818993564,1256.5887585253427,1249.8398713101922,1244.3329056046332,1237.4719568984497,1231.1921841397339,1226.0482743329442,1219.6488617355121,1213.7844868339762,1208.9637435414602,1202.9723032658337,1197.4754765434286,1192.9419670302655,1187.3123224052838,1182.1422825595475,1177.865157661737,1172.5592018487866,1167.6826556948768,1163.6365780819604,1158.6242025881234,1154.0151975474841,1150.1803625301732,1145.4388338014626,1141.0780196838446,1137.4396526417208,1132.952345921551,1128.8253934972304,1125.3725689963608,1121.1261831940615,1117.2207737891292,1113.944116888109,1109.9250818197681,1106.2280547641762,1103.1175034324835,1099.310055895154,1095.8061062794452,1092.8497571182843,1089.2356495365602,1085.9074272490075,1083.0914453320368,1079.6507184826892,1076.4795060554945,1073.7885611421987,1070.500393634498,1067.4669151141359
T17000logg2.6,2197.5126920788475,2185.9825332916553,2170.3853705567208,2156.132748992564,2145.166339998777,2130.4971032131402,2117.0785653870394,2106.659640770899,2092.862110308746,2080.228095673646,2070.3354615454014,2057.352772417192,2045.4531852369128,2036.0627035086843,2023.8389121482646,2012.6240114535408,2003.7094831599782,1992.1893858757867,1981.609558303217,1973.1427452256899,1962.2714597235922,1952.2768109238484,1944.2273363102013,1933.9496832442655,1924.4896567210012,1916.8249604418893,1907.0856239082907,1898.1095154635434,1890.7954926034308,1881.5397251231527,1872.9972325579693,1865.9988226586297,1857.1729910781658,1849.0151374387158,1842.297273712203,1833.8503413605995,1826.030735452169,1819.5595196704137,1811.4442330852326,1803.9204774755194,1797.6644933961256,1789.83911966148,1782.5742071769369,1776.5057678065027,1768.9351380266532,1761.898420145876,1755.9944950331744,1748.6508718062698,1741.8186501331606,1736.0614536384976,1728.9244261079646,1722.2796132881965,1716.6564096302434,1709.7121009433872,1703.243464239365,1697.746073005875,1690.9858628464262,1684.6863035695933,1679.3097711512971,1672.72733365661,1666.5910595587889,1661.3314794766702,1654.9199241792835,1648.940055686692,1643.792669088322,1637.5426091245106,1631.7097853653559,1626.667706487841,1620.5668346635525,1614.869282696884,1609.9233914998445,1603.9572577335507,1598.3813888512757,1593.5206916335471,1587.67336387384,1582.2045019621607
T17000logg2.8,2761.3995577106552,2750.539732362695,2735.7462219490794,2722.172389792707,2711.7415357470663,2697.686388860381,2684.7735003175303,2674.759115175071,2661.395670020981,2649.102252700213,2639.486687043086,2626.7662518689726,2615.0489256406527,2605.810934997353,2593.684059717608,2582.49853941577,2573.61421961166,2562.0314301853386,2551.3331477690685,2542.776559964221,2531.6884611894047,2521.4325872617874,2513.1759095156244,2502.5335777727064,2492.6755834022406,2484.689801329984,2474.44514296668,2464.9410674882297,2457.1963561363864,2447.3024184496653,2438.1093485551864,2430.575616136591,2420.987212735464,2412.0639826999377,2404.7116228762275,2395.3862378519902,2386.6944344161575,2379.4952727358373,2370.394315082965,2361.899515073042,2354.827990505565,2345.918120463406,2337.5910711533706,2330.6252594776297,2321.8794704916922,2313.6970190861484,2306.8195875756674,2298.2177501825386,2290.1631191603306,2283.3615549326946,2274.8902733717487,2266.9527698478314,2260.219270724775,2251.870864563809,2244.044759086954,2237.375420669387,2229.146428189101,2221.429300179392,2214.8228963574375,2206.7115222513066,2199.101704629852,2192.557683990045,2184.561079697099,2177.0554691149496,2170.572168448405,2162.6849193180483,2155.278040214956,2148.8517705832996,2141.065789130747,2133.7498157015243,2127.374754233474,2119.679608192957,2112.444715456882,2106.1130129417256,2098.496544105515,2091.3315532427728
T17000logg3.0,3301.1597205208914,3291.042300159095,3277.196264619516,3264.448210912075,3254.636598118977,3241.3522604081286,3229.103972893755,3219.589181758115,3206.829264892224,3195.0474322370683,3185.8156216217803,3173.540110840487,3162.188722492866,3153.2222012301836,3141.389229660269,3130.430556038273,3121.708697726226,3110.27573681068,3099.6713420826245,3091.1714294143267,3080.0957391828474,3069.806761541542,3061.5043258797764,3050.743666924992,3040.7318569309946,3032.6016561342885,3022.115097869004,3012.3430706794165,3004.359441443943,2994.107303209095,2984.5389890342954,2976.6763844633265,2966.621199483949,2957.2227145794677,2949.45654262706,2939.563993609122,2930.3047111430856,2922.612363115131,2912.8524035738,2903.705674844802,2896.0672410249254,2886.4144715728294,2877.3582507154447,2869.757131521458,2860.191732202839,2851.209446727271,2843.6331990172707,2834.141827981818,2825.2229206646944,2817.663746291261,2808.2390852109456,2799.37832432889,2791.8325678657484,2782.4722438884482,2773.6686602612144,2766.1361089361585,2756.841005496164,2748.0959111307134,2740.578265573472,2731.349872844502,2722.66459984972,2715.163706015943,2706.0020786059163,2697.37626827413,2689.8926429421763,2680.795219972399,2672.226146190525,2664.758292155612,2655.719855388501,2647.2023373789975,2639.74650711696,2630.759238351679,2622.2859668775172,2614.8363263536053,2605.8907267083005,2597.4530725230275
T17000logg3.2,3785.8561190777386,3776.5507871286272,3763.7498642227424,3751.9264429625073,3742.827465122248,3730.443061472774,3718.987306545394,3710.088452724153,3698.091070977042,3686.976225412241,3678.2665507467655,3666.623125453192,3655.8192779737306,3647.28401385019,3635.959362723609,3625.434609445589,3617.056112402455,3606.013631356874,3595.7345772198205,3587.492759449662,3576.6948752991725,3566.6272089410277,3558.5000769267363,3547.9092708088565,3538.01906777137,3529.9838409811296,3519.564353102954,3509.819311485251,3501.8534950460025,3491.5717740035534,3481.9415743007507,3474.023402849833,3463.8484743779672,3454.3053209631535,3446.414422289581,3436.318908673888,3426.838603359777,3418.956951469799,3408.9176283956463,3399.4797812199745,3391.591977758326,3381.5900212220613,3372.1786062375904,3364.272454363293,3354.294289756418,3344.8984855812146,3336.965784894098,3327.003871316606,3317.6183680650042,3309.6552526394894,3299.7075135749924,3290.331744387003,3282.33809713632,3272.406434678778,3263.043155835873,3255.021574939506,3245.1102130851586,3235.7636853196245,3227.7181368702445,3217.831122191654,3208.5048968665196,3200.438918222767,3190.5782739938577,3181.2738536734814,3173.189411769982,3163.354553792655,3154.071150707384,3145.9682547946377,3136.1560785517013,3126.8905213610433,3118.7669330803833,3108.9716257696177,3099.7184632787616,3091.5697561517713,3081.783722152704,3072.5361615438233
T18000logg2.2,872.7945167656826,862.5171820237049,848.9189454394431,836.7114220310004,827.3811843125965,815.191845268899,804.2560221460292,795.8349234757336,784.9588707187684,775.2099345704229,767.6537921321785,757.9975411464371,749.3535634955655,742.6167745765775,734.0935009430212,726.4783469663704,720.5165420703934,713.0458828779249,706.3878306987242,701.1571644047036,694.6614019590518,688.889421649969,684.3440824017382,678.7444188279406,673.7856457976053,669.8762763574363,665.091819674213,660.8712554378739,657.5450073387052,653.493567432449,649.9352107671596,647.1368778325143,643.7368712926431,640.7657268744724,638.4395954018385,635.6125742649898,633.1571550079397,631.249260377963,628.9225822341946,626.9173104181097,625.3775433276319,623.486496163424,621.8735228990168,620.6572290929095,619.1463136894406,617.8764801598841,616.9453749385796,615.768761338566,614.801877757353,614.1244537568273,613.2457998970307,612.5502613452666,612.1016318674461,611.4930427953308,611.0446064166255,610.8056127269823,610.4454404472133,610.2247792554554,610.1800971026287,610.0496492366299,610.039301616153,610.1750566576535,610.2557536358661,610.4380182076217,610.740086929795,611.0124112422151,611.3688126833855,611.8223370533051,612.266112723249,612.7777136319268,613.3672782208466,613.962195230392,614.6100516093899,615.3200021838975,616.0461120946005,616.8117292919812
