,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T32000logg3.2,109330.43150951587,103473.84725763486,98297.88657922746,93468.11093072797,89178.22424201986,85398.7646502053,81978.57535947533,78896.76758480846,76299.18078922402,74088.63648716803,72186.74163839931,70702.63370511029,69568.80039316475,68732.68605358154,68216.09918871165,67969.61373138502,67959.36247570837,68164.86531724535,68547.40977080373,69085.90793761905,69767.89293425891,70554.27964093046,71443.0039371859,72439.0223081517,73498.3441662776,74619.43551367125,75806.34790703577
T32000logg3.4,88246.81628509947,86213.43233226417,84366.98291839375,82586.12095593389,80938.46888659708,79439.7788505023,78045.95407049068,76761.121607007,75657.51083903176,74707.21775579458,73890.72091050715,73263.43537361808,72806.23292591023,72502.50646027533,72360.77610618263,72361.49052547089,72495.70963558786,72751.11906318432,73112.72789288945,73575.25891798666,74134.13876399845,74761.19661600984,75459.65804436828,76239.71432719794,77063.14190473841,77933.20025550644,78860.15305229326
T32000logg3.6,125770.54990212095,115639.12498180123,107231.28581716093,99786.56666793788,93639.22699153496,88491.1975713916,83973.6432464167,80175.7068809751,77026.31344076348,74344.61813747256,72099.6524087957,70326.80543606973,68918.1068274092,67827.96027405132,67071.91475899766,66584.09760411103,66332.28171043919,66300.41900500043,66442.88658358464,66742.18959303973,67192.49145490445,67768.79249878312,68471.09854350236,69287.01665869921,70191.41609394678,71176.51934188273,72224.1037630239
T32000logg3.8,167321.72048264326,154843.84146762398,144500.11324637095,135359.67887420906,127793.98548219311,121437.81892436942,115829.90131567662,111064.44962247372,107064.2016129168,103600.78750632408,100638.05239848453,98223.72695052503,96228.66244592874,94577.38809327212,93319.30132299506,92370.86160716429,91668.70560082904,91226.02524647379,90984.64080635147,90907.45220012577,91008.74224659314,91259.72166764204,91649.10378413655,92161.90052128349,92783.62715908058,93493.65768466634,94272.57456870332
T32000logg4.0,179213.69626833222,167566.48039374116,157938.113495518,149455.5555897599,142448.03300533857,136566.9797602593,131380.777956716,126977.70439950858,123285.63150601112,120092.1627561593,117366.1317949582,115148.06029945065,113320.0649446101,111808.228053793,110663.47799343773,109806.57079643583,109174.42328690793,108784.5450758391,108580.00685488165,108525.84041016665,108635.69179196494,108882.53870691838,109255.3303988909,109736.19243460355,110316.13945000981,110973.53204489009,111687.75713490094
T32000logg4.2,224442.62036889847,212606.5689746018,202713.8598419033,193925.277686249,186532.7837296857,180259.03849348254,174696.75392958216,169845.40851217965,165739.72101025336,162160.26248261193,159012.125106471,156403.2418786505,154207.92439079,152309.1296771889,150801.98969507616,149600.30284782412,148616.78221134315,147892.88308251306,147369.23103299938,147008.76496279085,146806.5673754944,146764.64228410515,146853.29169282378,147053.33599923336,147363.59332022554,147752.01584217144,148197.2246500848
T33000logg3.2,152135.92639972884,148418.17211985632,145182.1052786861,142191.40719055987,139551.43217802362,137238.96987922778,135157.7723612982,133314.82572446103,131787.95904601563,130522.63895641471,129492.61066004547,128754.05418973441,128273.18279060704,128032.9441714117,128019.6164137855,128201.09175099256,128563.33836042933,129068.02671485393,129694.03585467671,130435.71460431417,131264.69280665243,132154.77010911456,133104.84849511113,134133.93678501324,135181.74500263672,136255.02816248068,137374.68732285145
T33000logg3.4,107510.3067788891,100927.43364992643,95272.70593131742,90110.26956336286,85641.05161886966,81776.17576371327,78318.1739573643,75266.97183452928,72702.2739870598,70508.35362436695,68616.42480510696,67112.49778741658,65925.70116324778,65003.559218810056,64377.62170469815,63999.522892080815,63834.6194722021,63876.37397413762,64087.747405921225,64449.00598016301,64951.05412413852,65565.98495007063,66291.69044251987,67125.68214644992,68038.49426919462,69022.88509880309,70075.32883655651
T33000logg3.6,114068.45307311299,106277.35405665464,99728.86570408354,93873.2428635767,88914.41450868214,84709.24620232503,81013.23917513729,77805.12171393179,75143.4740044867,72888.34504554402,70968.13191169275,69457.03660112119,68272.31523414156,67359.03277218153,66739.52471786577,66364.22326491469,66194.68876981272,66226.19308538146,66418.14028864655,66753.213485516,67220.0796926174,67801.41177871499,68495.38947376629,69289.79512719429,70166.29208501102,71112.55706434998,72120.54517546055
T33000logg3.8,128088.96393343725,119332.36475180913,112075.28420746209,105664.48791408208,100370.75618651308,95948.19730188942,92082.6552518815,88836.90002240356,86157.71986500913,83890.23060953552,81999.90272335877,80519.65643224129,79359.2955933107,78472.89855081707,77876.53086589713,77513.14311470208,77353.00202888079,77383.14466044425,77564.00535149631,77879.47721506389,78326.27416404028,78881.92421929556,79549.3744099225,80310.02910227308,81150.41362809698,82062.27762413265,83023.99784533949
