,vsini70,vsini80,vsini90,vsini100,vsini110,vsini120,vsini130,vsini140,vsini150,vsini160,vsini170,vsini180,vsini190,vsini200,vsini210,vsini220,vsini230,vsini240,vsini250,vsini260,vsini270,vsini280,vsini290,vsini300,vsini310,vsini320,vsini330
T16000logg2.8,6040088.856570212,5782659.6178591605,5563205.547776565,5371121.967537668,5219642.470143216,5096434.115027322,4993965.886655125,4916615.446795097,4856697.84054946,4808395.145598013,4772804.482029963,4745176.472839283,4721501.338654107,4702830.05292848,4686453.5604916075,4670066.074167821,4655290.721117771,4640427.965770835,4624629.835847195,4609671.042362709,4594304.486046074,4578428.184049313,4563499.30271077,4548412.704412798,4533285.364115305,4519018.807584008,4504418.618622026
T16000logg3.0,6975629.996818471,6761544.414363183,6578865.563425153,6419173.257256247,6293310.472080649,6190988.986122103,6106276.939936411,6042399.068375829,5992856.111314418,5953023.269227646,5923363.588046983,5899775.594672099,5879062.373175578,5861846.10176405,5845719.241693639,5828894.044171668,5812675.936291829,5795450.449181833,5776736.57097422,5758109.871941419,5738320.660498243,5717556.872733836,5697182.03466933,5676029.0599761605,5654419.989961898,5633243.452658699,5611209.590391327
T16000logg3.2,8251026.548073131,8045383.581110062,7870076.470916887,7715595.489921449,7593680.424444789,7494467.529635947,7411049.39387113,7347636.799971179,7297912.98435867,7256415.682122956,7224592.086282421,7198419.215006175,7173970.684339917,7152772.22801912,7132373.910734899,7110311.855948296,7088640.5841707,7065655.244137538,7040302.874805316,7014863.068009711,6988026.723323561,6959486.586074697,6931273.32338221,6902163.928230782,6871966.34374028,6842215.331077963,6811561.957581349
T17000logg2.2,2529191.0784728522,2112677.5681711747,1770968.8800167684,1485900.085171262,1274670.5036320698,1116829.2514655432,1000778.8358346277,928578.6504903225,888653.1327748875,873038.2031017323,878510.7979856073,899294.7961569589,930979.8247767393,970701.0733402447,1016462.6579298219,1066400.2829153812,1118680.4166104128,1172916.5470780567,1228757.9822640284,1284873.4248622851,1341492.8849099772,1399201.8212334479,1456776.2622549888,1514690.3961888396,1573829.3914540673,1632674.9972980598,1691522.871547996
T17000logg2.4,3251620.550260099,2875198.3578037517,2560998.278583299,2291043.4472898855,2084422.6995372907,1923070.1236004136,1795185.36129349,1706074.1868024666,1645067.4707055383,1603955.8448262543,1582619.5768356344,1575187.798364853,1576703.1491930592,1586597.5119629393,1602274.682669763,1621265.5480733844,1643516.7806612102,1667952.571764956,1693722.7038823052,1720899.2276663554,1749037.943826641,1778244.2647388475,1808382.7679351054,1839275.9089600185,1871419.4762863237,1904196.3575641718,1937309.9113800207
T17000logg2.6,4290371.833070632,3949571.956295942,3662905.0166928708,3414578.742403362,3221738.591139334,3068037.7044210383,2942666.676953529,2851189.8740459736,2783811.553207729,2732723.550150382,2698977.945077731,2676920.3971963916,2661567.6532083596,2653592.6562965866,2650186.4965682663,2648634.208048097,2650039.3520589247,2653017.3671184564,2656372.5186820347,2661292.4152843803,2666921.291031189,2672984.398738336,2680328.4509215946,2688335.2227396634,2697107.028585185,2706930.7078842814,2717095.2504926915
T17000logg2.8,5296772.587762724,4997185.893748016,4744101.166385744,4523963.197034195,4352128.16294602,4214182.527207108,4100649.82313943,4016590.7137303473,3953222.228241769,3903572.823374359,3868799.3777608024,3843688.3232725495,3823642.778842755,3809624.808791372,3798867.1222798117,3788735.007959937,3780734.5421001264,3773293.895770524,3765266.7404536153,3758296.37766084,3751289.6569024744,3743961.7749088374,3737638.952582661,3731425.22427871,3725361.2705349745,3720216.599717994,3715001.433783098
T17000logg3.0,6345580.937094861,6086244.148143026,5866152.981990714,5673285.431916021,5521859.845362075,5399473.7189641,5297542.5445100125,5221075.735773292,5162372.020613785,5114970.95235287,5080357.862846096,5053830.346424362,5030935.682875192,5013000.841159969,4997395.014091527,4981380.984336579,4966839.972524185,4952160.066578071,4936046.621533317,4920578.229001614,4904569.019116491,4887521.402245697,4871249.558253526,4854723.108590132,4837691.99347865,4821459.6808998175,4804886.639770102
T17000logg3.2,7312886.638959364,7090620.5055206185,6901534.555028492,6735417.380687256,6604844.7728003785,6499285.0473947255,6411177.509997599,6345002.009238521,6294094.241176833,6252582.010149394,6221888.026725748,6197872.392715671,6176349.5847181445,6158715.739726804,6142565.688695393,6125197.0390631175,6108594.091475585,6091159.1483489135,6071605.033176239,6052164.375605998,6031632.125924411,6009500.793394524,5987758.175875417,5965310.512192817,5941882.345885592,5918941.951042406,5895285.206102518
T18000logg2.2,2774075.2968192347,2306540.8543736753,1924119.2891955355,1609725.741061316,1377626.608345086,1204410.3647844698,1079131.141116534,1001547.1585749413,958719.0487024377,943478.6630284206,950930.3307748027,974551.1082803926,1010864.7969239408,1055686.2051121271,1106822.1429939398,1163368.9453330087,1222324.3481724965,1283439.373512325,1346931.5363909763,1410541.5331208664,1474776.1189205404,1540505.777408762,1605894.531604277,1671658.5082066837,1738844.8521214416,1805455.9941529615,1871954.392507862
T18000logg2.4,2467546.444070071,2087195.5881089736,1776882.71415998,1519178.4175109058,1328710.881822921,1186773.671506114,1082399.960199763,1017368.5401370595,981140.4799790892,966102.5338213348,969552.9214169702,986171.5721739697,1011811.1757110212,1044305.3530847878,1081840.5368869249,1122744.1062385389,1165731.9765718367,1210431.3143155642,1256444.5019667028,1302876.5714993342,1349809.8771624784,1397687.1357418199,1445701.75662773,1494112.3226390886,1543653.3936816077,1593199.465118966,1642782.61045397
T18000logg2.6,3920114.465399321,3546637.7602766533,3235436.331393289,2968645.285984734,2763518.117134762,2601990.27390311,2472026.498465879,2378831.8859907053,2311994.667823808,2263081.9777266216,2232772.6616077796,2215258.8817306473,2205279.5280676885,2203170.505924671,2206155.0461353594,2211356.6309269657,2219572.795011785,2229586.4643578962,2240020.2366935695,2251883.5117003326,2264518.175570771,2277440.7432774412,2291481.6930793305,2306199.223734019,2321568.3098120475,2337917.979813901,2354637.9161384027
T18000logg2.8,4510176.209443668,4185503.7990746605,3914161.24481411,3681131.2747824853,3501544.921311016,3359731.904154301,3245451.0121401455,3163046.164665362,3103275.9342945507,3058736.02552176,3029860.533796052,3011431.2480444475,2998761.5920004044,2992320.4315905175,2989616.4049549946,2988030.149026401,2988653.2290288126,2990305.4140613903,2991653.5320618483,2994054.4864733084,2996790.376608296,2999289.1314986334,3002757.3814518,3006646.9798244815,3010734.8828686527,3015732.8311869367,3020935.407316831
T18000logg3.0,5544072.481886303,5272247.5601137625,5043985.386792174,4846248.482986019,4692795.8052401105,4570592.264596049,4470432.591240186,4396971.753633738,4342424.656806316,4299890.532093843,4270581.411739202,4249913.690405808,4233169.528138975,4221507.732002223,4212519.1474312665,4203237.520722757,4195433.701944011,4187830.0802889606,4178766.05770033,4170330.114003497,4161626.7978706835,4151784.9718758166,4142701.9801015784,4133595.590648506,4123934.48586235,4115071.9192514857,4106065.5771413366
T18000logg3.2,6608712.220204167,6373898.51428276,6175827.434512114,6003372.347760742,5869054.217886135,5761724.380796131,5673295.891272655,5608039.461552336,5559111.483003621,5520268.422000125,5492715.118998574,5472313.183064327,5454645.880348425,5441003.1508871745,5429106.090618744,5416035.743881243,5403729.604343482,5390925.955271187,5375872.846522889,5360958.287017839,5345257.943493041,5327733.503562182,5310664.607881917,5293187.391561097,5274514.2644526,5256440.846000246,5237937.1818546085
